asset,symbol,part,source
samsung_electronics,005930,stock_price,FDR
sk_hynix,000660,stock_price,FDR
nvidia,NVDA,stock_price,FDR
vanEck_semiconductor_etf_smh,SMH,semi_index,FDR
ishares_semiconductor_etf_soxx,SOXX,semi_index,FDR
phlx_semiconductor_index_sox,SOX,semi_index,FDR
phlx_semiconductor_index_yahoo,^SOX,semi_index,FDR
kospi,KS11,global_index,FDR
kospi200,KS200,global_index,FDR
kosdaq,KQ11,global_index,FDR
nasdaq_composite,IXIC,global_index,FDR
sp500,S&P500,global_index,FDR
dow_jones,DJI,global_index,FDR
russell2000,RUT,global_index,FDR
vix,VIX,global_index,FDR
shanghai_composite,SSEC,global_index,FDR
hang_seng,HSI,global_index,FDR
nikkei225,N225,global_index,FDR
usd_krw,USD/KRW,fx,FDR
usd_cny,USD/CNY,fx,FDR
usd_jpy,USD/JPY,fx,FDR
cny_krw,CNY/KRW,fx,FDR
us_5y_treasury,US5YT,rate_dollar,FDR
us_10y_treasury,US10YT,rate_dollar,FDR
us_30y_treasury,US30YT,rate_dollar,FDR
dollar_index,^NYICDX,rate_dollar,FDR
wti_crude_oil,CL=F,future,FDR
brent_crude_oil,BZ=F,future,FDR
natural_gas,NG=F,future,FDR
gold,GC=F,future,FDR
silver,SI=F,future,FDR
copper,HG=F,future,FDR
federal_funds_rate,FEDFUNDS,fred,FRED
us_10y_treasury_fred,DGS10,fred,FRED
us_2y_treasury_fred,DGS2,fred,FRED
us_10y_2y_spread,T10Y2Y,fred,FRED
vix_fred,VIXCLS,fred,FRED
nasdaq_composite_fred,NASDAQCOM,fred,FRED
broad_dollar_index,DTWEXBGS,fred,FRED
industrial_production,INDPRO,fred,FRED
semiconductor_electronic_component_industrial_production,IPG3344S,fred,FRED
semiconductor_related_device_ppi,PCU334413334413P,fred,FRED
computers_electronic_products_new_orders,A34SNO,fred,FRED
