name,ticker,period_bucket,time_split,rows,down_rows_5d,neutral_rows_5d,up_rows_5d,missing_target_rows
nvidia,NVDA,model_2018_2024,embargo,10,0,8,2,0
nvidia,NVDA,model_2018_2024,test,260,78,74,108,0
nvidia,NVDA,model_2018_2024,train,1232,370,492,370,0
nvidia,NVDA,model_2018_2024,validation,259,70,98,91,0
nvidia,NVDA,raw_eda,,1761,448,938,375,0
nvidia,NVDA,recent_regime_2025_plus,recent_regime,346,95,148,98,5
samsung_electronics,005930,model_2018_2024,embargo,10,0,6,4,0
samsung_electronics,005930,model_2018_2024,test,254,100,78,76,0
samsung_electronics,005930,model_2018_2024,train,1204,361,482,361,0
samsung_electronics,005930,model_2018_2024,validation,253,63,120,70,0
samsung_electronics,005930,raw_eda,,944,266,376,302,0
samsung_electronics,005930,recent_regime_2025_plus,recent_regime,335,76,79,175,5
sk_hynix,000660,model_2018_2024,embargo,10,3,2,5,0
sk_hynix,000660,model_2018_2024,test,254,75,77,102,0
sk_hynix,000660,model_2018_2024,train,1204,361,482,361,0
sk_hynix,000660,model_2018_2024,validation,253,63,107,83,0
sk_hynix,000660,raw_eda,,944,248,383,313,0
sk_hynix,000660,recent_regime_2025_plus,recent_regime,335,78,72,180,5
