date,ticker,market,period_bucket,time_split,target_5d_3class,future_5d_date,future_5d_return,target_threshold_lower,target_threshold_upper,nasdaq_t_minus_1,nasdaq_t_minus_1_source_date,nasdaq_t_minus_1_known_date,sox_t_minus_1,sox_t_minus_1_source_date,sox_t_minus_1_known_date,vix_t_minus_1,vix_t_minus_1_source_date,vix_t_minus_1_known_date,us_rate_t_minus_1,us_rate_t_minus_1_source_date,us_rate_t_minus_1_known_date,usd_krw_t_minus_1,usd_krw_t_minus_1_source_date,usd_krw_t_minus_1_known_date,nasdaq_t_minus_3,nasdaq_t_minus_3_source_date,nasdaq_t_minus_3_known_date,sox_t_minus_3,sox_t_minus_3_source_date,sox_t_minus_3_known_date,vix_t_minus_3,vix_t_minus_3_source_date,vix_t_minus_3_known_date,us_rate_t_minus_3,us_rate_t_minus_3_source_date,us_rate_t_minus_3_known_date,usd_krw_t_minus_3,usd_krw_t_minus_3_source_date,usd_krw_t_minus_3_known_date,nasdaq_t_minus_5,nasdaq_t_minus_5_source_date,nasdaq_t_minus_5_known_date,sox_t_minus_5,sox_t_minus_5_source_date,sox_t_minus_5_known_date,vix_t_minus_5,vix_t_minus_5_source_date,vix_t_minus_5_known_date,us_rate_t_minus_5,us_rate_t_minus_5_source_date,us_rate_t_minus_5_known_date,usd_krw_t_minus_5,usd_krw_t_minus_5_source_date,usd_krw_t_minus_5_known_date
2014-02-27,005930,KR,raw_eda,,1,2014-03-06,-0.01118568232662187,-0.015996122258762305,0.017205003803988657,4292.06005859375,2014-02-26,2014-02-26,564.2899780273438,2014-02-26,2014-02-26,14.350000381469728,2014-02-26,2014-02-26,0.07,2014-01-01,2014-02-07,1073.0999755859375,2014-02-26,2014-02-26,4292.97021484375,2014-02-24,2014-02-24,563.3699951171875,2014-02-24,2014-02-24,14.229999542236328,2014-02-24,2014-02-24,0.07,2014-01-01,2014-02-07,1072.0999755859375,2014-02-24,2014-02-24,4263.41015625,2014-02-21,2014-02-21,561.2100219726562,2014-02-21,2014-02-21,14.68000030517578,2014-02-21,2014-02-21,0.07,2014-01-01,2014-02-07,1071.0,2014-02-21,2014-02-21
2014-02-28,005930,KR,raw_eda,,1,2014-03-07,-0.007412898443291294,-0.015996122258762305,0.017205003803988657,4318.93017578125,2014-02-27,2014-02-27,564.219970703125,2014-02-27,2014-02-27,14.039999961853027,2014-02-27,2014-02-27,0.07,2014-01-01,2014-02-07,1065.0999755859375,2014-02-27,2014-02-27,4287.58984375,2014-02-25,2014-02-25,560.5399780273438,2014-02-25,2014-02-25,13.670000076293944,2014-02-25,2014-02-25,0.07,2014-01-01,2014-02-07,1073.300048828125,2014-02-25,2014-02-25,4263.41015625,2014-02-21,2014-02-21,561.2100219726562,2014-02-21,2014-02-21,14.68000030517578,2014-02-21,2014-02-21,0.07,2014-01-01,2014-02-07,1071.0,2014-02-21,2014-02-21
2014-03-03,005930,KR,raw_eda,,1,2014-03-10,-0.0037735849056603765,-0.015996122258762305,0.017205003803988657,4308.1201171875,2014-02-28,2014-02-28,563.8300170898438,2014-02-28,2014-02-28,14.0,2014-02-28,2014-02-28,0.07,2014-01-01,2014-02-07,1068.699951171875,2014-02-28,2014-02-28,4308.1201171875,2014-02-28,2014-02-28,563.8300170898438,2014-02-28,2014-02-28,14.0,2014-02-28,2014-02-28,0.07,2014-01-01,2014-02-07,1068.699951171875,2014-02-28,2014-02-28,4292.06005859375,2014-02-26,2014-02-26,564.2899780273438,2014-02-26,2014-02-26,14.350000381469728,2014-02-26,2014-02-26,0.07,2014-01-01,2014-02-07,1073.0999755859375,2014-02-26,2014-02-26
2014-03-04,005930,KR,raw_eda,,1,2014-03-11,0.005323193916349833,-0.015996122258762305,0.017205003803988657,4277.2998046875,2014-03-03,2014-03-03,560.22998046875,2014-03-03,2014-03-03,16.0,2014-03-03,2014-03-03,0.07,2014-01-01,2014-02-07,1067.300048828125,2014-03-03,2014-03-03,4308.1201171875,2014-02-28,2014-02-28,563.8300170898438,2014-02-28,2014-02-28,14.0,2014-02-28,2014-02-28,0.07,2014-01-01,2014-02-07,1068.699951171875,2014-02-28,2014-02-28,4318.93017578125,2014-02-27,2014-02-27,564.219970703125,2014-02-27,2014-02-27,14.039999961853027,2014-02-27,2014-02-27,0.07,2014-01-01,2014-02-07,1065.0999755859375,2014-02-27,2014-02-27
2014-03-05,005930,KR,raw_eda,,0,2014-03-12,-0.02706766917293235,-0.015996122258762305,0.017205003803988657,4351.97021484375,2014-03-04,2014-03-04,570.1300048828125,2014-03-04,2014-03-04,14.100000381469728,2014-03-04,2014-03-04,0.07,2014-01-01,2014-02-07,1069.0,2014-03-04,2014-03-04,4308.1201171875,2014-02-28,2014-02-28,563.8300170898438,2014-02-28,2014-02-28,14.0,2014-02-28,2014-02-28,0.07,2014-01-01,2014-02-07,1068.699951171875,2014-02-28,2014-02-28,4308.1201171875,2014-02-28,2014-02-28,563.8300170898438,2014-02-28,2014-02-28,14.0,2014-02-28,2014-02-28,0.07,2014-01-01,2014-02-07,1068.699951171875,2014-02-28,2014-02-28
2014-03-06,005930,KR,raw_eda,,0,2014-03-13,-0.02714932126696834,-0.015996122258762305,0.017205003803988657,4357.97021484375,2014-03-05,2014-03-05,571.2999877929688,2014-03-05,2014-03-05,13.890000343322754,2014-03-05,2014-03-05,0.07,2014-01-01,2014-02-07,1070.0999755859375,2014-03-05,2014-03-05,4277.2998046875,2014-03-03,2014-03-03,560.22998046875,2014-03-03,2014-03-03,16.0,2014-03-03,2014-03-03,0.07,2014-01-01,2014-02-07,1067.300048828125,2014-03-03,2014-03-03,4308.1201171875,2014-02-28,2014-02-28,563.8300170898438,2014-02-28,2014-02-28,14.0,2014-02-28,2014-02-28,0.07,2014-01-01,2014-02-07,1068.699951171875,2014-02-28,2014-02-28
2014-03-07,005930,KR,raw_eda,,0,2014-03-14,-0.047796863330843875,-0.015996122258762305,0.017205003803988657,4352.1298828125,2014-03-06,2014-03-06,575.02001953125,2014-03-06,2014-03-06,14.210000038146973,2014-03-06,2014-03-06,0.07,2014-01-01,2014-02-07,1070.199951171875,2014-03-06,2014-03-06,4351.97021484375,2014-03-04,2014-03-04,570.1300048828125,2014-03-04,2014-03-04,14.100000381469728,2014-03-04,2014-03-04,0.07,2014-01-01,2014-02-07,1069.0,2014-03-04,2014-03-04,4308.1201171875,2014-02-28,2014-02-28,563.8300170898438,2014-02-28,2014-02-28,14.0,2014-02-28,2014-02-28,0.07,2014-01-01,2014-02-07,1068.699951171875,2014-02-28,2014-02-28
2014-03-10,005930,KR,raw_eda,,0,2014-03-17,-0.040909090909090895,-0.015996122258762305,0.017205003803988657,4336.22021484375,2014-03-07,2014-03-07,574.3900146484375,2014-03-07,2014-03-07,14.109999656677246,2014-03-07,2014-03-07,0.07,2014-02-01,2014-03-07,1063.5999755859375,2014-03-07,2014-03-07,4336.22021484375,2014-03-07,2014-03-07,574.3900146484375,2014-03-07,2014-03-07,14.109999656677246,2014-03-07,2014-03-07,0.07,2014-02-01,2014-03-07,1063.5999755859375,2014-03-07,2014-03-07,4357.97021484375,2014-03-05,2014-03-05,571.2999877929688,2014-03-05,2014-03-05,13.890000343322754,2014-03-05,2014-03-05,0.07,2014-01-01,2014-02-07,1070.0999755859375,2014-03-05,2014-03-05
2014-03-11,005930,KR,raw_eda,,0,2014-03-18,-0.033282904689863835,-0.015996122258762305,0.017205003803988657,4334.4501953125,2014-03-10,2014-03-10,573.219970703125,2014-03-10,2014-03-10,14.199999809265137,2014-03-10,2014-03-10,0.07,2014-02-01,2014-03-07,1064.199951171875,2014-03-10,2014-03-10,4336.22021484375,2014-03-07,2014-03-07,574.3900146484375,2014-03-07,2014-03-07,14.109999656677246,2014-03-07,2014-03-07,0.07,2014-02-01,2014-03-07,1063.5999755859375,2014-03-07,2014-03-07,4352.1298828125,2014-03-06,2014-03-06,575.02001953125,2014-03-06,2014-03-06,14.210000038146973,2014-03-06,2014-03-06,0.07,2014-01-01,2014-02-07,1070.199951171875,2014-03-06,2014-03-06
2014-03-12,005930,KR,raw_eda,,0,2014-03-19,-0.019319938176197815,-0.015996122258762305,0.017205003803988657,4307.18994140625,2014-03-11,2014-03-11,570.0800170898438,2014-03-11,2014-03-11,14.800000190734863,2014-03-11,2014-03-11,0.07,2014-02-01,2014-03-07,1066.0999755859375,2014-03-11,2014-03-11,4336.22021484375,2014-03-07,2014-03-07,574.3900146484375,2014-03-07,2014-03-07,14.109999656677246,2014-03-07,2014-03-07,0.07,2014-02-01,2014-03-07,1063.5999755859375,2014-03-07,2014-03-07,4336.22021484375,2014-03-07,2014-03-07,574.3900146484375,2014-03-07,2014-03-07,14.109999656677246,2014-03-07,2014-03-07,0.07,2014-02-01,2014-03-07,1063.5999755859375,2014-03-07,2014-03-07
