date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2011-01-03,518.05,1,7.36,0.0144,515.71,518.06,514.51,591799174,1825257407407,99446901806331.0
2011-01-04,521.35,1,3.3,0.0064,520.74,522.34,519.29,749812296,2405917734625,99996408870370.0
2011-01-05,523.81,1,2.46,0.0046999999999999,522.16,524.41,519.93,674797379,2461669770875,100973551095242.0
2011-01-06,527.64,1,3.83,0.0073,527.82,529.87,524.44,813991199,3299061893314,101663579213452.0
2011-01-07,530.84,1,3.2,0.0060999999999999,530.75,531.28,529.87,670274820,2478629499081,102278943380380.0
2011-01-10,533.98,1,3.14,0.0059,532.96,534.87,532.09,641263984,2193613148663,102941010183371.0
2011-01-11,533.67,2,-0.31,-0.0006,535.94,536.84,531.23,759473848,2575327265329,102972950414281.0
2011-01-12,535.43,1,1.76,0.0033,536.52,536.84,534.94,835849862,2622758681753,103426796107300.0
2011-01-13,534.27,2,-1.16,-0.0022,538.61,538.86,531.99,738912324,2434332878744,103225581009115.0
2011-01-14,535.2,1,0.93,0.0017,536.05,536.19,533.79,646686403,2424079306410,103544807191798.0
2011-01-17,533.01,2,-2.19,-0.0040999999999999,538.07,538.13,532.16,638472389,2153525513449,103137299811499.0
2011-01-18,529.02,2,-3.99,-0.0075,532.68,534.0,529.0,699446333,2090441774341,102369947236847.0
2011-01-19,532.97,1,3.95,0.0075,532.95,533.61,530.11,664224946,2056691045563,103138251672312.0
2011-01-20,533.36,1,0.39,0.0007,533.58,535.77,533.36,701905475,2120308809241,103262501213529.0
2011-01-21,525.75,2,-7.61,-0.0143,534.55,534.65,525.7,669419755,2246205221633,102027694687169.0
2011-01-24,527.09,1,1.34,0.0025,526.84,527.93,525.2,692266468,2172947892714,102603603003313.0
2011-01-25,522.96,2,-4.13,-0.0078,530.57,530.67,522.2,791344872,2334158717173,101800215164964.0
2011-01-26,524.71,1,1.75,0.0033,524.55,526.21,524.18,606837503,1939420286977,102366713629727.0
2011-01-27,528.63,1,3.92,0.0075,527.65,528.99,527.26,601545022,1991035195053,103064871296531.0
2011-01-28,527.46,2,-1.17,-0.0022,531.38,531.76,526.81,621194239,2242327647626,102958264383425.0
2011-01-31,521.38,2,-6.08,-0.0115,523.01,524.86,521.38,514371242,1962815615164,102115766845244.0
2011-02-01,524.5,1,3.12,0.006,525.1,526.47,523.26,538229637,1845537263191,102532782970064.0
2011-02-07,531.09,1,6.59,0.0126,530.68,532.62,530.68,492869230,1704267005620,103911830335465.0
2011-02-08,531.47,1,0.38,0.0007,534.46,535.2,530.06,585207205,1991735178211,104016403052154.0
2011-02-09,525.74,2,-5.73,-0.0108,533.47,533.79,524.31,724717024,2137147705472,103023548510734.0
2011-02-10,522.7,2,-3.04,-0.0058,526.89,527.56,521.66,728030480,1977690237009,102333623756725.0
2011-02-11,517.73,2,-4.97,-0.0095,525.91,526.64,517.48,836472857,2279260133004,101384649833564.0
2011-02-14,520.35,1,2.62,0.0051,522.37,523.17,517.57,651099198,1969896930215,101927723661784.0
2011-02-15,520.88,1,0.53,0.001,521.26,522.33,519.3,725092954,2209792151232,102066417361142.0
2011-02-16,520.08,2,-0.8,-0.0015,522.1,524.01,519.83,874040148,2646019495427,101904024367395.0
2011-02-17,511.08,2,-9.0,-0.0173,522.67,523.55,508.01,861784852,2483003279581,100139171689460.0
2011-02-18,518.55,1,7.47,0.0146,513.6,518.95,511.92,697827832,1869416993826,101668580307085.0
2011-02-21,520.59,1,2.04,0.0039,521.47,522.23,519.26,666151964,1971735739126,102051174119177.0
2011-02-22,512.06,2,-8.53,-0.0163999999999999,517.89,517.89,508.9,665724478,2007589279232,100389687713518.0
2011-02-23,507.16,2,-4.9,-0.0096,509.69,513.64,505.24,732876522,2177692584092,99478683988451.0
2011-02-24,501.11,2,-6.05,-0.0118999999999999,507.22,509.27,501.04,729024741,2095812536195,98309806787676.0
2011-02-25,509.33,1,8.22,0.0163999999999999,504.96,509.41,502.38,605754071,1827063139672,99927115387198.0
