date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2011-01-03,2070.08,1,19.08,0.0093,2063.69,2070.09,2054.83,354083359,5941470649203,1153204185044950.0
2011-01-04,2085.14,1,15.06,0.0073,2074.56,2085.14,2069.12,415906517,7799740341295,1163384106084700.0
2011-01-05,2082.55,2,-2.59,-0.0012,2083.1,2087.14,2076.92,386064920,8609366845145,1162008605708700.0
2011-01-06,2077.61,2,-4.94,-0.0024,2094.35,2096.65,2066.1,407829146,8804441828186,1159300878918060.0
2011-01-07,2086.2,1,8.59,0.0040999999999999,2073.68,2086.2,2068.66,335558949,7675864506306,1164242711087020.0
2011-01-10,2080.81,2,-5.39,-0.0026,2082.29,2088.64,2069.3,342636730,7324759075642,1161296287103510.0
2011-01-11,2088.32,1,7.51,0.0036,2079.85,2088.32,2059.67,410949115,7021419291059,1165326145673470.0
2011-01-12,2094.95,1,6.63,0.0032,2091.7,2098.0,2085.99,433264325,8017806336737,1169057028554930.0
2011-01-13,2089.48,2,-5.47,-0.0026,2097.04,2109.34,2083.8,424205341,9204261674098,1165839513647740.0
2011-01-14,2108.17,1,18.69,0.0089,2089.7,2108.17,2076.44,424721361,8901923387554,1176340368148360.0
2011-01-17,2099.85,2,-8.32,-0.0039,2112.37,2118.86,2099.84,428363819,8159168682627,1171862510468320.0
2011-01-18,2096.48,2,-3.37,-0.0016,2095.85,2111.4,2093.32,454894670,8055006610186,1171595151170530.0
2011-01-19,2115.69,1,19.21,0.0092,2106.53,2119.24,2084.08,425470233,8741413030069,1182475352032180.0
2011-01-20,2106.66,2,-9.03,-0.0043,2111.41,2114.2,2102.61,335461500,6610410338656,1177156834386110.0
2011-01-21,2069.92,2,-36.74,-0.0174,2103.74,2104.39,2066.82,395396338,7528692558799,1156643407305200.0
2011-01-24,2082.16,1,12.24,0.0059,2067.32,2082.97,2064.0,340241136,6098845003456,1163233466088570.0
