date,open,high,low,close,volume,ticker
2018-01-02,51380,51400,50780,51020,169485,005930
2018-01-03,52540,52560,51420,51620,200270,005930
2018-01-04,52120,52180,50640,51080,233909,005930
2018-01-05,51300,52120,51200,52120,189623,005930
2018-01-08,52400,52520,51500,52020,167673,005930
2018-01-09,51460,51720,49980,50400,360272,005930
2018-01-10,50500,50520,48640,48840,371336,005930
2018-01-11,48200,49260,48020,48240,502476,005930
2018-01-12,48240,48480,46760,48200,545409,005930
2018-01-15,48800,48980,47920,48540,201920,005930
2018-01-16,48760,50140,48620,50000,407793,005930
2018-01-17,50020,50020,49060,49620,221061,005930
2018-01-18,50020,50640,49820,49900,296977,005930
2018-01-19,50380,50380,49040,49320,184399,005930
2018-01-22,48640,48680,47960,48240,250418,005930
2018-01-23,48660,49160,48300,49160,270654,005930
2018-01-24,48860,49700,48560,49340,191010,005930
2018-01-25,49220,50360,49160,50260,223207,005930
2018-01-26,50500,50780,49840,50780,207002,005930
2018-01-29,51200,51480,50900,51220,236776,005930
2018-01-30,50440,50640,49780,49800,245691,005930
2018-01-31,50020,54140,49600,49900,1293626,005930
2018-02-01,50620,50960,49720,49820,552189,005930
2018-02-02,49380,49400,47700,47700,585207,005930
2018-02-05,46500,48320,46000,47920,567158,005930
2018-02-06,46600,47920,46580,47420,388129,005930
2018-02-07,48240,48260,45800,45800,468961,005930
2018-02-08,46120,46620,45980,46000,465021,005930
2018-02-09,44440,45180,44420,44700,349300,005930
2018-02-12,45100,46320,45040,45720,315099,005930
2018-02-13,46200,48060,46200,47540,378465,005930
2018-02-14,48080,49100,47940,49000,378118,005930
2018-02-19,49800,49800,47860,48380,307069,005930
2018-02-20,48040,48160,47220,47400,202452,005930
2018-02-21,47280,47580,46840,47280,257604,005930
2018-02-22,47260,47260,46760,46760,177399,005930
2018-02-23,46760,47800,46760,47220,248466,005930
2018-02-26,47280,47560,47080,47380,191213,005930
2018-02-27,48360,48380,47380,47380,196611,005930
2018-02-28,47380,48100,47000,47060,303247,005930
2018-03-02,46580,46800,46000,46020,265310,005930
2018-03-05,45820,46160,45080,45200,282019,005930
2018-03-06,45920,47100,45820,47020,308467,005930
2018-03-07,48200,48900,47220,48620,428541,005930
2018-03-08,49200,49480,48080,49200,389273,005930
2018-03-09,49440,50540,49240,49740,286088,005930
2018-03-12,50560,50780,49580,49740,173779,005930
2018-03-13,50760,51660,50360,51660,401974,005930
2018-03-14,51020,52000,51000,51760,254265,005930
2018-03-15,52000,52020,51020,51540,177649,005930
2018-03-16,51220,51420,50240,51140,243698,005930
2018-03-19,50620,51340,50440,50740,164377,005930
2018-03-20,50700,51200,50100,51200,163865,005930
2018-03-21,51780,51780,51060,51060,178104,005930
2018-03-22,51060,51780,51040,51780,169082,005930
2018-03-23,50340,50720,49600,49720,297099,005930
2018-03-26,49420,50280,49040,50280,201155,005930
2018-03-27,50320,50460,49080,49980,237480,005930
2018-03-28,49100,49100,48340,48700,303189,005930
2018-03-29,48700,49560,48320,49040,201340,005930
2018-03-30,49080,49900,49080,49220,155542,005930
2018-04-02,49000,49220,48500,48540,142313,005930
2018-04-03,47880,48140,47280,48120,255365,005930
2018-04-04,48160,48260,46920,46920,247684,005930
2018-04-05,47400,49380,47340,48740,264912,005930
2018-04-06,48000,48580,47400,48400,250654,005930
2018-04-09,48260,49440,48200,49200,199008,005930
2018-04-10,48540,49220,48040,48880,219687,005930
2018-04-11,49900,49900,48600,48860,201022,005930
2018-04-12,49440,49440,48880,49000,249325,005930
2018-04-13,49600,50180,49400,49800,205566,005930
2018-04-16,50320,50600,49860,50340,157549,005930
2018-04-17,50240,50540,49820,49980,155440,005930
2018-04-18,51000,51360,50580,51360,269252,005930
2018-04-19,52000,52980,51540,52780,343811,005930
2018-04-20,51800,52260,51420,51620,235220,005930
2018-04-23,51000,52080,51000,51900,232380,005930
2018-04-24,51840,51860,50080,50460,315406,005930
2018-04-25,49220,50500,49220,50400,332292,005930
2018-04-26,50420,52160,50400,52140,360931,005930
2018-04-27,53380,53639,52440,53000,606216,005930
2018-04-30,0,0,0,53000,0,005930
2018-05-02,0,0,0,53000,0,005930
2018-05-03,0,0,0,53000,0,005930
2018-05-04,53000,53900,51800,51900,39565391,005930
2018-05-08,52600,53200,51900,52600,23104720,005930
2018-05-09,52600,52800,50900,50900,16128305,005930
2018-05-10,51700,51700,50600,51600,13905263,005930
2018-05-11,52000,52200,51200,51300,10314997,005930
2018-05-14,51000,51100,49900,50100,14909272,005930
2018-05-15,50200,50400,49100,49200,18709146,005930
2018-05-16,49200,50200,49150,49850,15918683,005930
2018-05-17,50300,50500,49400,49400,10365440,005930
2018-05-18,49900,49900,49350,49500,6706570,005930
2018-05-21,49650,50200,49100,50000,9020998,005930
2018-05-23,50600,52000,50400,51800,17095490,005930
2018-05-24,52000,52000,51100,51400,8289275,005930
2018-05-25,51000,52800,50800,52700,15207266,005930
2018-05-28,52500,53000,52000,52300,9787820,005930
2018-05-29,52200,52500,51300,51300,8480437,005930
2018-05-30,51300,51500,49100,49500,20498098,005930
2018-05-31,50400,50800,49850,50700,63491109,005930
2018-06-01,50500,51700,49950,51300,13038499,005930
2018-06-04,50800,51200,50700,51100,9767171,005930
2018-06-05,51100,51400,50400,51300,9144100,005930
2018-06-07,51800,51800,50500,50600,13590016,005930
2018-06-08,50200,50400,49600,49650,16951706,005930
2018-06-11,49750,50300,49350,49900,10571312,005930
2018-06-12,49700,49800,49250,49400,12110569,005930
2018-06-14,49000,49000,48200,48200,20971729,005930
2018-06-15,48500,48700,47650,47650,17080892,005930
2018-06-18,47600,47650,46200,46600,16661870,005930
2018-06-19,47200,47350,46500,47000,15217971,005930
2018-06-20,47450,47600,46850,47000,12959316,005930
2018-06-21,47900,47900,47050,47050,10015541,005930
2018-06-22,47000,47250,46200,47250,10298006,005930
2018-06-25,47050,47050,46150,46650,10587711,005930
2018-06-26,45900,47300,45900,47000,11223166,005930
2018-06-27,47450,48500,47000,47950,15274752,005930
2018-06-28,46850,47150,46600,46800,12784800,005930
2018-06-29,46250,47150,46200,46650,14099635,005930
2018-07-02,46500,47150,45500,45550,13112253,005930
2018-07-03,45750,46450,45750,46150,10959655,005930
2018-07-04,46700,47050,46050,46250,8776763,005930
2018-07-05,46100,46550,45600,45950,7039773,005930
2018-07-06,45500,45850,44650,44900,17843706,005930
2018-07-09,45500,46100,45200,45600,11602464,005930
2018-07-10,46200,46550,46100,46300,10528665,005930
2018-07-11,46400,46450,45400,46000,11224077,005930
2018-07-12,45900,46250,45450,45500,11828104,005930
2018-07-13,45800,46500,45750,46500,11543389,005930
2018-07-16,46800,46800,46000,46050,7678719,005930
2018-07-17,46150,46200,45600,45850,8892953,005930
2018-07-18,46700,47200,46450,46550,10952645,005930
2018-07-19,47050,47200,46600,46900,9880128,005930
2018-07-20,47000,47600,46700,47450,10474547,005930
2018-07-23,47100,47200,46150,46500,10823782,005930
2018-07-24,46350,46600,45950,46150,8261363,005930
2018-07-25,46250,46550,45900,46150,7222471,005930
2018-07-26,46100,47000,46000,46900,7374946,005930
2018-07-27,46450,47000,46450,46900,4762460,005930
2018-07-30,46550,46800,46350,46500,5723035,005930
2018-07-31,46200,46450,46000,46250,8033607,005930
2018-08-01,46050,46850,46050,46550,7484499,005930
2018-08-02,46550,46800,45500,45550,8560924,005930
2018-08-03,45850,45900,45450,45750,8274944,005930
2018-08-06,46150,46150,45750,45800,6771979,005930
2018-08-07,46300,46750,45900,46700,9058174,005930
2018-08-08,47000,47000,46550,46800,6429338,005930
2018-08-09,47000,47050,46450,46900,12010886,005930
2018-08-10,46150,46400,44850,45400,16670643,005930
2018-08-13,44950,45100,44650,45050,9803831,005930
2018-08-14,44850,45400,44850,45150,6409259,005930
2018-08-16,43800,44650,43700,44250,10088229,005930
2018-08-17,44050,44400,44050,44100,6808747,005930
2018-08-20,43500,44200,43500,43850,7289124,005930
2018-08-21,43700,44900,43700,44800,9520270,005930
2018-08-22,45150,46200,44900,46100,11641656,005930
2018-08-23,46150,46200,45700,46200,6730918,005930
2018-08-24,45900,46400,45550,46150,6582535,005930
2018-08-27,46100,46550,46000,46300,5263782,005930
2018-08-28,46800,46950,46300,46550,7365976,005930
2018-08-29,46750,46800,46400,46800,5572374,005930
2018-08-30,46950,47950,46700,47650,12193231,005930
2018-08-31,47100,48450,47000,48450,13577454,005930
2018-09-03,48200,48300,47300,47450,8595084,005930
2018-09-04,47550,47800,47200,47650,6791255,005930
2018-09-05,47300,47450,46400,46600,9139998,005930
2018-09-06,46200,46400,45800,46100,9040553,005930
2018-09-07,44500,45200,44400,44900,18285508,005930
2018-09-10,45450,45550,45000,45500,9979838,005930
2018-09-11,45550,45900,45050,45050,9865790,005930
2018-09-12,44900,45100,44500,44550,12995269,005930
2018-09-13,44550,44750,44000,44050,18277942,005930
2018-09-14,45000,45850,44900,45850,12446344,005930
2018-09-17,45550,45800,44900,45150,8123384,005930
2018-09-18,44950,45900,44700,45500,9987090,005930
2018-09-19,46000,46200,45700,46150,9367454,005930
2018-09-20,46850,47600,46400,47250,13536966,005930
2018-09-21,46550,47550,46550,47400,14476906,005930
2018-09-27,46950,47500,46450,47500,15804586,005930
2018-09-28,47250,47250,46300,46450,11270515,005930
2018-10-01,46450,46800,45800,46350,6354983,005930
2018-10-02,46450,46700,45700,45700,6607188,005930
2018-10-04,45150,45600,44700,44700,11865327,005930
2018-10-05,44800,45500,44550,44700,10544165,005930
2018-10-08,44200,45200,44200,44950,6759464,005930
2018-10-10,45250,45500,44500,45300,10341349,005930
2018-10-11,44000,44650,43100,43100,19324537,005930
2018-10-12,43200,44650,43200,44000,12640906,005930
2018-10-15,44050,44050,43350,43800,7434522,005930
2018-10-16,43700,44150,43350,43600,6825677,005930
2018-10-17,44150,44500,44000,44150,8306193,005930
2018-10-18,43950,44450,43700,44050,8347725,005930
2018-10-19,43900,44150,43450,43900,7842520,005930
2018-10-22,43450,43950,43200,43550,8357648,005930
2018-10-23,43300,43450,42550,43050,9531231,005930
2018-10-24,43050,43100,42250,42550,13522825,005930
2018-10-25,40600,41550,40550,41000,19338170,005930
2018-10-26,41100,41300,40400,41000,14413864,005930
2018-10-29,40850,41950,40550,41400,14460521,005930
2018-10-30,41400,43000,41000,42350,14205190,005930
2018-10-31,42900,43350,41700,42400,17621480,005930
2018-11-01,42450,42950,42150,42150,13423132,005930
2018-11-02,43050,44250,42800,44150,16517112,005930
2018-11-05,43750,43800,42900,43800,9426777,005930
2018-11-06,43750,43800,42950,43750,7713625,005930
2018-11-07,43600,44500,43400,44000,11553998,005930
2018-11-08,44900,45050,44050,44050,12617397,005930
2018-11-09,44450,44850,43900,44300,7318500,005930
2018-11-12,43850,45250,43700,45200,8552566,005930
2018-11-13,43900,44500,43400,44500,9311126,005930
2018-11-14,44500,44500,43800,44100,6783344,005930
2018-11-15,44050,44350,43500,44250,5864067,005930
2018-11-16,44600,44750,43700,44000,7777124,005930
2018-11-19,44050,44250,43450,43650,7538720,005930
2018-11-20,42450,43000,42100,42800,9420664,005930
2018-11-21,41800,42300,41800,42100,10769589,005930
2018-11-22,42000,42650,42000,42450,5970796,005930
