date,open,high,low,close,volume,ticker
2018-01-02,77300,77300,76200,76600,2014838,000660
2018-01-03,78100,78800,77300,77700,3097644,000660
2018-01-04,78700,79700,77100,77100,3729328,000660
2018-01-05,78400,79400,78300,79300,3395065,000660
2018-01-08,79500,80000,77400,78200,2960495,000660
2018-01-09,78300,78900,76300,76900,3343874,000660
2018-01-10,76700,76700,72500,72900,9123901,000660
2018-01-11,73200,73800,72000,72600,3777867,000660
2018-01-12,73300,74500,72000,74400,5659087,000660
2018-01-15,73700,74100,72500,72700,3541267,000660
2018-01-16,72700,74700,72700,74400,4383229,000660
2018-01-17,74400,75000,73700,74100,3256624,000660
2018-01-18,75800,76800,74600,75200,6199800,000660
2018-01-19,75300,75800,73000,73300,3898397,000660
2018-01-22,72800,72800,70700,71100,5610463,000660
2018-01-23,71800,72200,70900,71300,4671451,000660
2018-01-24,71600,73200,71500,72400,3802939,000660
2018-01-25,73400,76200,72300,75800,8758929,000660
2018-01-26,76400,76400,74200,75500,4296170,000660
2018-01-29,76500,77000,75000,75300,3618328,000660
2018-01-30,74300,74600,73100,73100,5443314,000660
2018-01-31,72200,74500,72200,73500,5800892,000660
2018-02-01,74900,75200,74000,74400,2987816,000660
2018-02-02,74500,74600,71800,72200,4343077,000660
2018-02-05,70200,70900,69800,70200,4058439,000660
2018-02-06,69100,71300,68200,70200,5679965,000660
2018-02-07,73700,73800,70800,71100,6007913,000660
2018-02-08,71900,74200,71600,73900,5586858,000660
2018-02-09,72100,74200,72000,73400,5118112,000660
2018-02-12,73700,74700,73400,74500,3317876,000660
2018-02-13,75900,77800,75800,77700,7814367,000660
2018-02-14,78400,79500,77000,77600,3943628,000660
2018-02-19,78900,79000,76100,76500,3350577,000660
2018-02-20,76400,76500,75200,75500,2507719,000660
2018-02-21,75800,77200,75800,76900,2653870,000660
2018-02-22,76100,77400,75700,75900,1879461,000660
2018-02-23,76100,77600,76000,77300,2404473,000660
2018-02-26,78300,78500,77200,77500,2327486,000660
2018-02-27,78700,79200,78400,78700,3395415,000660
2018-02-28,78600,79200,76600,76800,3102987,000660
2018-03-02,76300,77800,75900,77400,2673152,000660
2018-03-05,77500,78900,77100,78300,3415061,000660
2018-03-06,80100,82500,80000,82400,7588369,000660
2018-03-07,83600,83900,82400,82700,4992841,000660
