date,foreign_net_buy_value,institution_net_buy_value,ticker
2011-01-03,15745036000,314943000,005930
2011-01-04,57030517000,-55279294000,005930
2011-01-05,42006164000,-61062574000,005930
2011-01-06,-66346724000,1819013000,005930
2011-01-07,-72531442000,-35390381000,005930
2011-01-10,-79629618000,9799185000,005930
2011-01-11,-77934023000,3839781000,005930
2011-01-12,53588806000,9876141000,005930
2011-01-13,43765666000,-74816543000,005930
2011-01-14,-10223281000,13598510000,005930
2011-01-17,96189226000,717211000,005930
2011-01-18,61162920000,99743530000,005930
2011-01-19,63993009000,119466499000,005930
2011-01-20,-68459188000,34764271000,005930
2011-01-21,-43317592000,13941519000,005930
2011-01-24,-42914473000,17647663000,005930
2011-01-25,13871547000,4912928000,005930
2011-01-26,42166203000,-731435000,005930
2011-01-27,55986595000,-27811914000,005930
2011-01-28,30387763000,21596803000,005930
2011-01-31,-147702266000,44752976000,005930
2011-02-01,-2403213000,-21883931000,005930
2011-02-07,-41624801000,-7003264000,005930
2011-02-08,-33576998000,-71201861000,005930
2011-02-09,10489872000,-27931628000,005930
2011-02-10,-125304754000,-10935297000,005930
2011-02-11,-125488411000,15747831000,005930
2011-02-14,51115509000,34624739000,005930
2011-02-15,69126660000,-30760369000,005930
2011-02-16,-53012528000,74701302000,005930
2011-02-17,5722696000,9277846000,005930
2011-02-18,21394892000,1031303000,005930
2011-02-21,50540583000,-68997632000,005930
2011-02-22,-19952029000,16820372000,005930
2011-02-23,-47302537000,50597805000,005930
2011-02-24,45874466000,6306513000,005930
2011-02-25,-33036714000,-8281785000,005930
2011-02-28,-4138371000,18113388000,005930
2011-03-02,-29270263000,16790069000,005930
2011-03-03,3625829000,-48265076000,005930
2011-03-04,64789205000,-41490218000,005930
2011-03-07,-22321231000,-153446069000,005930
2011-03-08,-71781056000,-18634843000,005930
2011-03-09,10480149000,-84455555000,005930
2011-03-10,-262691994000,41395426000,005930
2011-03-11,-44623542000,2202640000,005930
2011-03-14,-4681897000,80867749000,005930
2011-03-15,-104928288000,11059927000,005930
2011-03-16,-36966528000,165149534000,005930
2011-03-17,36897806000,-20838352000,005930
2011-03-18,49593647000,-43015461000,005930
2011-03-21,45879957000,-48056784000,005930
2011-03-22,12799323000,-103728601000,005930
2011-03-23,-10501925000,-60156527000,005930
2011-03-24,6770751000,18574156000,005930
2011-03-25,109509416000,47356153000,005930
2011-03-28,65859438000,20729668000,005930
2011-03-29,18300312000,-22443817000,005930
2011-03-30,112941483000,8749176000,005930
2011-03-31,153691120000,-68422775000,005930
2011-04-01,202176953000,-109741239000,005930
2011-04-04,135146753000,-43438145000,005930
2011-04-05,75379588000,-23362699000,005930
2011-04-06,72563782000,-146095799000,005930
2011-04-07,-40134462000,-54113629000,005930
2011-04-08,36828772000,-155998244000,005930
2011-04-11,55472736000,-97960618000,005930
2011-04-12,-18913868000,-52735439000,005930
2011-04-13,62269258000,-38002336000,005930
2011-04-14,13001541000,-73749713000,005930
2011-04-15,36083040000,-114372470000,005930
2011-04-18,-5146779000,-124970088000,005930
2011-04-19,15177490000,-73235509000,005930
2011-04-20,48709800000,188829280000,005930
2011-04-21,175086948000,-14373908000,005930
2011-04-22,104011691000,-125888641000,005930
2011-04-25,34925852000,-73703151000,005930
2011-04-26,-9631634000,-24196903000,005930
2011-04-27,163951136000,24144452000,005930
2011-04-28,87692508000,-112030134000,005930
2011-04-29,-48632780000,-37757203000,005930
2011-05-02,43577370000,199322486000,005930
2011-05-03,30270017000,108413750000,005930
2011-05-04,-12553813000,-21330586000,005930
2011-05-06,-40918136000,-1984510000,005930
2011-05-09,-21735764000,-37384064000,005930
2011-05-11,-24413176000,-66597479000,005930
2011-05-12,-100917448000,58881146000,005930
2011-05-13,-122148324000,249418555000,005930
2011-05-16,-34656176000,25487118000,005930
2011-05-17,-13603192000,-7650594000,005930
2011-05-18,8901598000,-24179428000,005930
2011-05-19,-47458255000,-42717067000,005930
2011-05-20,14375796000,-15776695000,005930
2011-05-23,4219500000,-22840133000,005930
2011-05-24,-9264018000,-12244059000,005930
2011-05-25,7316804000,-57724912000,005930
2011-05-26,30875890000,-24406908000,005930
2011-05-27,2113909000,63174992000,005930
2011-05-30,-42002495000,27096826000,005930
2011-05-31,65604322000,95086067000,005930
2011-06-01,5440179000,53241933000,005930
2011-06-02,-1446122000,-46770714000,005930
2011-06-03,-12678776000,30868958000,005930
2011-06-07,10055682000,-1887016000,005930
2011-06-08,37618077000,-45467422000,005930
2011-06-09,-29641027000,-62552631000,005930
2011-06-10,4942922000,-81457113000,005930
2011-06-13,-68493662000,54960556000,005930
2011-06-14,-22500657000,37971288000,005930
2011-06-15,-23376066000,24775626000,005930
2011-06-16,-8201255000,-40319087000,005930
2011-06-17,-44541346000,-75772610000,005930
2011-06-20,-93960562000,14900506000,005930
2011-06-21,-438634000,18361295000,005930
2011-06-22,18193237000,6921590000,005930
2011-06-23,42506914000,-7578112000,005930
2011-06-24,-55423097000,147731570000,005930
2011-06-27,27800940000,-55870853000,005930
2011-06-28,10161628000,4706780000,005930
2011-06-29,42222193000,-35219298000,005930
2011-06-30,10742910000,-38933799000,005930
2011-07-01,19819563000,55190024000,005930
2011-07-04,28443456000,95737564000,005930
2011-07-05,133968062000,30070820000,005930
2011-07-06,19310232000,28644044000,005930
2011-07-07,-14605923000,-6948662000,005930
2011-07-08,22395523000,-7123202000,005930
2011-07-11,-2495135000,-38456793000,005930
2011-07-12,-4480076000,-24515909000,005930
2011-07-13,19802062000,-78005807000,005930
2011-07-14,-60465615000,-71991601000,005930
2011-07-15,-83765298000,23523089000,005930
2011-07-18,-55443891000,-71459041000,005930
2011-07-19,-32700186000,21346295000,005930
2011-07-20,41537116000,76459390000,005930
2011-07-21,18053903000,-2137336000,005930
2011-07-22,43709770000,-938006000,005930
2011-07-25,35913754000,-35360954000,005930
2011-07-26,-11107114000,23052929000,005930
2011-07-27,8049626000,-12427952000,005930
2011-07-28,88140756000,-89730927000,005930
2011-07-29,46284333000,-25158270000,005930
2011-08-01,88546452000,28409087000,005930
2011-08-02,-1473424000,14345336000,005930
2011-08-03,-41913275000,-1070700000,005930
2011-08-04,-58085621000,12136000000,005930
2011-08-05,-125342341000,35986746000,005930
2011-08-08,-10776813000,1704928000,005930
2011-08-09,-124883951000,31822290000,005930
2011-08-10,-120701728000,-39823970000,005930
2011-08-11,-46089864000,-38429381000,005930
2011-08-12,23948253000,-59792747000,005930
