date,foreign_net_buy_value,institution_net_buy_value,ticker
2011-01-03,-6783312000,139356227500,000660
2011-01-04,29931174800,53232035600,000660
2011-01-05,65902249400,33402085000,000660
2011-01-06,57643277700,31923920200,000660
2011-01-07,21761952000,1495189100,000660
2011-01-10,-8777742300,-10502940000,000660
2011-01-11,-24317931700,11612088000,000660
2011-01-12,43061632500,22724569500,000660
2011-01-13,186477977750,-36838979000,000660
2011-01-14,-10492943000,15325644500,000660
2011-01-17,-1108835500,150783300,000660
2011-01-18,36115548000,45663999400,000660
2011-01-19,42247241450,-9345492900,000660
2011-01-20,39621583900,-10489825050,000660
2011-01-21,37167435500,4271374500,000660
2011-01-24,63236085000,-24762083800,000660
2011-01-25,19269925500,-19122740500,000660
2011-01-26,33945072850,8409909000,000660
2011-01-27,11072885500,-19665893500,000660
2011-01-28,119187788500,45643623500,000660
2011-01-31,31793294000,-14277272350,000660
2011-02-01,31202995050,-37257781100,000660
2011-02-07,23815909000,-23236007000,000660
2011-02-08,61115851050,-51963832400,000660
2011-02-09,30370355000,-9394967050,000660
2011-02-10,-30518852750,-6164475100,000660
2011-02-11,7431695000,-5861191200,000660
2011-02-14,3851656500,16731865400,000660
2011-02-15,-1867133500,18547194750,000660
2011-02-16,21648891300,15269778900,000660
2011-02-17,19801829600,-14213566000,000660
2011-02-18,11860338000,-15157890600,000660
2011-02-21,4919409500,-24376451500,000660
2011-02-22,2264847400,36102265900,000660
2011-02-23,-12031106400,-15715239600,000660
2011-02-24,-25209919400,34111465200,000660
2011-02-25,17520297000,9891070000,000660
2011-02-28,26686593250,11593119650,000660
2011-03-02,-300614500,-18869620500,000660
2011-03-03,10456056500,-1256367150,000660
2011-03-04,30641823000,14908649800,000660
2011-03-07,8188114300,-8168565400,000660
2011-03-08,-23612988000,-7443779750,000660
2011-03-09,7191874900,4492127100,000660
2011-03-10,-12998257000,-35714368800,000660
2011-03-11,-16632049500,15909508350,000660
2011-03-14,-58210190500,61004790600,000660
2011-03-15,-60102736700,68751665200,000660
2011-03-16,-7935998000,19938015400,000660
2011-03-17,-37284324900,-12128858250,000660
2011-03-18,-3849755350,-21604402550,000660
2011-03-21,-6736780500,-46422521000,000660
2011-03-22,-11333441000,-61167650650,000660
2011-03-23,23103374500,27167830950,000660
2011-03-24,20485033000,46264065900,000660
2011-03-25,12040452700,65871498200,000660
2011-03-28,-5105731000,107920977300,000660
2011-03-29,15724673500,16136309000,000660
2011-03-30,39683042950,39412317050,000660
2011-03-31,14758429400,-12651042800,000660
2011-04-01,15083493800,-3917155100,000660
2011-04-04,25115404000,-26291970900,000660
2011-04-05,21211982400,41882205150,000660
2011-04-06,6441097050,6688899000,000660
2011-04-07,13427884000,-13721956700,000660
2011-04-08,-68157584100,7018936900,000660
2011-04-11,6860918100,23556977400,000660
2011-04-12,13231053500,9434290800,000660
2011-04-13,31942412100,-13166018850,000660
2011-04-14,34652292250,16177121250,000660
2011-04-15,30549227500,-26040821450,000660
2011-04-18,1381625300,649237100,000660
2011-04-19,326798400,-29772372200,000660
2011-04-20,5372276300,34698242600,000660
2011-04-21,86632599500,6645460500,000660
2011-04-22,-6152715200,-63871449600,000660
2011-04-25,-3774546000,-30664743950,000660
2011-04-26,44386239500,-146853366300,000660
2011-04-27,24361056800,-63332185850,000660
2011-04-28,30782097850,-3648580600,000660
2011-04-29,15047277000,-45239581500,000660
2011-05-02,-1230298900,16713820800,000660
2011-05-03,18335532300,-32074492250,000660
2011-05-04,-60613007000,-17740102950,000660
2011-05-06,31526369500,-3257405500,000660
2011-05-09,41027653700,-2314296800,000660
2011-05-11,45484992280,-14832818080,000660
2011-05-12,9618733000,8923645750,000660
2011-05-13,7762813500,45875943000,000660
2011-05-16,21398724000,-25209928000,000660
2011-05-17,26851973000,-71639298200,000660
2011-05-18,-21355550000,-65022984800,000660
2011-05-19,1865553750,-25075890600,000660
2011-05-20,24249942000,-14429535950,000660
2011-05-23,2374338500,-17249162050,000660
2011-05-24,19245143000,-9786063750,000660
2011-05-25,3645415000,-486114500,000660
2011-05-26,-44082000,5833492050,000660
2011-05-27,-351800100,953771400,000660
2011-05-30,183269000,-119378324500,000660
2011-05-31,30788911500,-97088494900,000660
2011-06-01,-16326679000,-152057380300,000660
2011-06-02,27985523500,-44254544350,000660
2011-06-03,-3780151450,-1046406300,000660
2011-06-07,39953510000,-805725400,000660
2011-06-08,85041966800,-56649877800,000660
2011-06-09,11635540750,-49595491000,000660
2011-06-10,24801827800,-82415857600,000660
2011-06-13,20474303500,-16689777550,000660
2011-06-14,-13666925800,8724529200,000660
2011-06-15,9182396450,-5149610450,000660
2011-06-16,2200247000,-6649367750,000660
2011-06-17,49923123500,-73811695750,000660
2011-06-20,27954241300,9569134500,000660
2011-06-21,-12471172400,10715856100,000660
2011-06-22,-265834500,34933485000,000660
2011-06-23,-4827666200,12867735050,000660
2011-06-24,22101901500,47152294650,000660
2011-06-27,-69900232200,-13385742500,000660
2011-06-28,-28041379500,-23406859300,000660
2011-06-29,10918505850,-80735325500,000660
2011-06-30,9251807500,-37404358500,000660
2011-07-01,8943216600,32519947400,000660
2011-07-04,17124219900,-7632337250,000660
2011-07-05,29148754850,24098747000,000660
2011-07-06,21471188300,-55782912000,000660
2011-07-07,7444892600,-46722623100,000660
2011-07-08,-22109184500,-11886604100,000660
2011-07-11,2331553450,-7425446050,000660
2011-07-12,-7129948150,-44292077550,000660
2011-07-13,-24838903000,-108567450600,000660
2011-07-14,-5815178700,-91491639200,000660
2011-07-15,-21336953500,-12398338000,000660
2011-07-18,-1475562950,-58007617950,000660
2011-07-19,-23006661000,-9573919550,000660
2011-07-20,-35803595200,62731788900,000660
2011-07-21,-25176831300,-15396981800,000660
2011-07-22,-25746129500,-5673487750,000660
2011-07-25,-24844557500,31574777600,000660
2011-07-26,-17823512000,19136137500,000660
2011-07-27,-15829952700,-34628197100,000660
2011-07-28,6348308450,-27869834300,000660
2011-07-29,-27460666000,148258352000,000660
2011-08-01,1621020750,50733592550,000660
