date,computers_electronic_products_new_orders
2011-01-01,23892.0
2011-02-01,23634.0
2011-03-01,22813.0
2011-04-01,23190.0
2011-05-01,23217.0
2011-06-01,23336.0
2011-07-01,22682.0
2011-08-01,23767.0
2011-09-01,23688.0
2011-10-01,23904.0
2011-11-01,23401.0
2011-12-01,23424.0
2012-01-01,23072.0
2012-02-01,23866.0
2012-03-01,23024.0
2012-04-01,23128.0
2012-05-01,23546.0
2012-06-01,21396.0
2012-07-01,21584.0
2012-08-01,20751.0
2012-09-01,20890.0
2012-10-01,21073.0
2012-11-01,21301.0
2012-12-01,22244.0
2013-01-01,20924.0
2013-02-01,20275.0
2013-03-01,19648.0
2013-04-01,21394.0
2013-05-01,21858.0
2013-06-01,21549.0
2013-07-01,20996.0
2013-08-01,19973.0
2013-09-01,20874.0
2013-10-01,21399.0
2013-11-01,21850.0
2013-12-01,20495.0
2014-01-01,21429.0
2014-02-01,21244.0
2014-03-01,21542.0
2014-04-01,21546.0
2014-05-01,20879.0
2014-06-01,21729.0
2014-07-01,21169.0
2014-08-01,21563.0
2014-09-01,21246.0
2014-10-01,20613.0
2014-11-01,19957.0
2014-12-01,20150.0
2015-01-01,19556.0
2015-02-01,19358.0
2015-03-01,21263.0
2015-04-01,20496.0
2015-05-01,20140.0
2015-06-01,20746.0
2015-07-01,20745.0
2015-08-01,20580.0
2015-09-01,20347.0
2015-10-01,20245.0
2015-11-01,20171.0
2015-12-01,20673.0
2016-01-01,20876.0
2016-02-01,21206.0
2016-03-01,21034.0
2016-04-01,21758.0
2016-05-01,21611.0
2016-06-01,21449.0
2016-07-01,21529.0
2016-08-01,21480.0
2016-09-01,21152.0
2016-10-01,20990.0
2016-11-01,20861.0
2016-12-01,21483.0
2017-01-01,21216.0
2017-02-01,21512.0
2017-03-01,20900.0
2017-04-01,21350.0
2017-05-01,21175.0
2017-06-01,21015.0
2017-07-01,21789.0
2017-08-01,21779.0
2017-09-01,22577.0
2017-10-01,22295.0
2017-11-01,22767.0
2017-12-01,22126.0
2018-01-01,21876.0
2018-02-01,22026.0
2018-03-01,21747.0
2018-04-01,22440.0
2018-05-01,22716.0
2018-06-01,22836.0
2018-07-01,22970.0
2018-08-01,22856.0
2018-09-01,22545.0
2018-10-01,23254.0
2018-11-01,23366.0
2018-12-01,23343.0
2019-01-01,22967.0
2019-02-01,23016.0
2019-03-01,23250.0
2019-04-01,23818.0
2019-05-01,23512.0
2019-06-01,23393.0
2019-07-01,23189.0
2019-08-01,23042.0
2019-09-01,22922.0
2019-10-01,22529.0
2019-11-01,22350.0
2019-12-01,22570.0
2020-01-01,22796.0
2020-02-01,23006.0
2020-03-01,22648.0
2020-04-01,22584.0
2020-05-01,22651.0
2020-06-01,22760.0
2020-07-01,23027.0
2020-08-01,23404.0
2020-09-01,23397.0
2020-10-01,24196.0
2020-11-01,24147.0
2020-12-01,24299.0
2021-01-01,22657.0
2021-02-01,22920.0
2021-03-01,22931.0
2021-04-01,23219.0
2021-05-01,23212.0
2021-06-01,23243.0
2021-07-01,23169.0
2021-08-01,23851.0
2021-09-01,23426.0
2021-10-01,23258.0
2021-11-01,24365.0
2021-12-01,24000.0
2022-01-01,24951.0
2022-02-01,24829.0
2022-03-01,24866.0
2022-04-01,25011.0
2022-05-01,25136.0
2022-06-01,25024.0
2022-07-01,25470.0
2022-08-01,25449.0
2022-09-01,25076.0
2022-10-01,24651.0
2022-11-01,24806.0
2022-12-01,24587.0
2023-01-01,24005.0
2023-02-01,24255.0
2023-03-01,24613.0
2023-04-01,24360.0
2023-05-01,24346.0
2023-06-01,24640.0
2023-07-01,24778.0
2023-08-01,24949.0
2023-09-01,25148.0
2023-10-01,25316.0
2023-11-01,25423.0
2023-12-01,25075.0
2024-01-01,25527.0
2024-02-01,25258.0
2024-03-01,25104.0
2024-04-01,25247.0
2024-05-01,25269.0
2024-06-01,25253.0
2024-07-01,25551.0
2024-08-01,25580.0
2024-09-01,25755.0
2024-10-01,25716.0
2024-11-01,25550.0
2024-12-01,25946.0
2025-01-01,26138.0
2025-02-01,26187.0
2025-03-01,25733.0
2025-04-01,25858.0
2025-05-01,26397.0
2025-06-01,26639.0
2025-07-01,26786.0
2025-08-01,26485.0
2025-09-01,26803.0
2025-10-01,26863.0
2025-11-01,27015.0
2025-12-01,27945.0
2026-01-01,28163.0
2026-02-01,28559.0
2026-03-01,29598.0
