date,dow_jones
2010-12-31,11577.509765625
2011-01-03,11670.75
2011-01-04,11691.1796875
2011-01-05,11722.8896484375
2011-01-06,11697.3095703125
2011-01-07,11674.759765625
2011-01-10,11637.4501953125
2011-01-11,11671.8798828125
2011-01-12,11755.4404296875
2011-01-13,11731.900390625
2011-01-14,11787.3798828125
2011-01-18,11837.9296875
2011-01-19,11825.2900390625
2011-01-20,11822.7998046875
2011-01-21,11871.83984375
2011-01-24,11980.51953125
2011-01-25,11977.1904296875
2011-01-26,11985.4404296875
2011-01-27,11989.830078125
2011-01-28,11823.7001953125
2011-01-31,11891.9296875
2011-02-01,12040.16015625
2011-02-02,12041.9697265625
2011-02-03,12062.259765625
2011-02-04,12092.150390625
2011-02-07,12161.6298828125
2011-02-08,12233.150390625
2011-02-09,12239.8896484375
2011-02-10,12229.2900390625
2011-02-11,12273.259765625
2011-02-14,12268.1904296875
2011-02-15,12226.6396484375
2011-02-16,12288.169921875
2011-02-17,12318.1396484375
2011-02-18,12391.25
2011-02-22,12212.7900390625
2011-02-23,12105.7802734375
2011-02-24,12068.5
2011-02-25,12130.4501953125
2011-02-28,12226.33984375
2011-03-01,12058.01953125
2011-03-02,12066.7998046875
2011-03-03,12258.2001953125
2011-03-04,12169.8798828125
2011-03-07,12090.0302734375
2011-03-08,12214.3798828125
2011-03-09,12213.08984375
2011-03-10,11984.6103515625
2011-03-11,12044.400390625
2011-03-14,11993.16015625
2011-03-15,11855.419921875
2011-03-16,11613.2998046875
2011-03-17,11774.58984375
2011-03-18,11858.51953125
2011-03-21,12036.5302734375
2011-03-22,12018.6298828125
2011-03-23,12086.01953125
2011-03-24,12170.5595703125
2011-03-25,12220.58984375
2011-03-28,12197.8798828125
2011-03-29,12279.009765625
2011-03-30,12350.6103515625
2011-03-31,12319.73046875
2011-04-01,12376.7197265625
2011-04-04,12400.0302734375
2011-04-05,12393.900390625
2011-04-06,12426.75
2011-04-07,12409.490234375
2011-04-08,12380.0498046875
2011-04-11,12381.1103515625
2011-04-12,12263.580078125
2011-04-13,12270.990234375
2011-04-14,12285.150390625
2011-04-15,12341.830078125
2011-04-18,12201.58984375
2011-04-19,12266.75
2011-04-20,12453.5400390625
2011-04-21,12505.990234375
2011-04-25,12479.8798828125
2011-04-26,12595.3701171875
2011-04-27,12690.9599609375
2011-04-28,12763.3095703125
2011-04-29,12810.5400390625
2011-05-02,12807.3603515625
2011-05-03,12807.509765625
2011-05-04,12723.580078125
2011-05-05,12584.169921875
2011-05-06,12638.740234375
2011-05-09,12684.6796875
2011-05-10,12760.3603515625
2011-05-11,12630.0302734375
2011-05-12,12695.919921875
2011-05-13,12595.75
2011-05-16,12548.3701171875
2011-05-17,12479.580078125
2011-05-18,12560.1796875
2011-05-19,12605.3203125
2011-05-20,12512.0400390625
2011-05-23,12381.259765625
2011-05-24,12356.2099609375
2011-05-25,12394.66015625
2011-05-26,12402.759765625
2011-05-27,12441.580078125
2011-05-31,12569.7900390625
2011-06-01,12290.1396484375
2011-06-02,12248.5498046875
2011-06-03,12151.259765625
2011-06-06,12089.9599609375
2011-06-07,12070.8095703125
2011-06-08,12048.9404296875
2011-06-09,12124.3603515625
2011-06-10,11951.91015625
2011-06-13,11952.9697265625
2011-06-14,12076.1103515625
2011-06-15,11897.26953125
2011-06-16,11961.51953125
