date,semiconductor_electronic_component_industrial_production
2011-01-01,53.7716
2011-02-01,54.1177
2011-03-01,53.7497
2011-04-01,53.7194
2011-05-01,54.0203
2011-06-01,54.2273
2011-07-01,53.6659
2011-08-01,55.0189
2011-09-01,54.9714
2011-10-01,54.7035
2011-11-01,55.2388
2011-12-01,55.9485
2012-01-01,56.5696
2012-02-01,57.7653
2012-03-01,58.3927
2012-04-01,59.087
2012-05-01,59.9974
2012-06-01,61.0013
2012-07-01,60.6111
2012-08-01,59.8824
2012-09-01,60.984
2012-10-01,62.4098
2012-11-01,62.1728
2012-12-01,62.3427
2013-01-01,62.7268
2013-02-01,62.014
2013-03-01,62.6561
2013-04-01,63.8934
2013-05-01,64.9148
2013-06-01,65.7834
2013-07-01,66.8912
2013-08-01,68.0148
2013-09-01,68.6801
2013-10-01,70.6466
2013-11-01,71.7685
2013-12-01,72.8464
2014-01-01,74.522
2014-02-01,76.7132
2014-03-01,78.497
2014-04-01,80.0616
2014-05-01,81.8774
2014-06-01,82.4052
2014-07-01,82.7456
2014-08-01,82.6163
2014-09-01,82.6105
2014-10-01,82.3956
2014-11-01,81.9877
2014-12-01,82.1515
2015-01-01,82.1504
2015-02-01,81.8215
2015-03-01,81.026
2015-04-01,80.5543
2015-05-01,79.9374
2015-06-01,80.4261
2015-07-01,79.8745
2015-08-01,80.2585
2015-09-01,80.721
2015-10-01,81.048
2015-11-01,81.2548
2015-12-01,82.4698
2016-01-01,81.6281
2016-02-01,82.5464
2016-03-01,82.9313
2016-04-01,83.7862
2016-05-01,84.7635
2016-06-01,86.0963
2016-07-01,88.2021
2016-08-01,89.4199
2016-09-01,91.3266
2016-10-01,92.678
2016-11-01,93.5939
2016-12-01,94.1908
2017-01-01,95.0183
2017-02-01,96.0273
2017-03-01,97.5229
2017-04-01,101.0176
2017-05-01,101.0408
2017-06-01,100.548
2017-07-01,99.5657
2017-08-01,99.3714
2017-09-01,100.0478
2017-10-01,101.3948
2017-11-01,103.144
2017-12-01,105.3014
2018-01-01,106.5123
2018-02-01,106.2109
2018-03-01,105.5107
2018-04-01,106.0022
2018-05-01,106.3259
2018-06-01,107.3727
2018-07-01,107.5357
2018-08-01,107.8675
2018-09-01,106.6054
2018-10-01,105.2557
2018-11-01,103.0036
2018-12-01,102.4992
2019-01-01,103.7506
2019-02-01,104.7604
2019-03-01,105.3679
2019-04-01,105.8286
2019-05-01,105.8115
2019-06-01,106.7633
2019-07-01,107.5196
2019-08-01,109.1758
2019-09-01,108.7369
2019-10-01,108.9746
2019-11-01,110.9638
2019-12-01,112.6269
2020-01-01,110.9344
2020-02-01,108.6923
2020-03-01,109.4757
2020-04-01,107.5225
2020-05-01,107.1574
2020-06-01,109.2417
2020-07-01,111.7799
2020-08-01,112.4082
2020-09-01,115.8024
2020-10-01,119.86
2020-11-01,121.1263
2020-12-01,121.0366
2021-01-01,120.3158
2021-02-01,119.1051
2021-03-01,119.6459
2021-04-01,121.9916
2021-05-01,123.9862
2021-06-01,121.2857
2021-07-01,117.7423
2021-08-01,117.8182
2021-09-01,118.1095
2021-10-01,119.9345
2021-11-01,122.4168
2021-12-01,124.7074
2022-01-01,125.773
2022-02-01,128.9521
2022-03-01,129.5542
2022-04-01,127.9384
2022-05-01,128.77
2022-06-01,131.2495
2022-07-01,131.7061
2022-08-01,132.8333
2022-09-01,134.0567
2022-10-01,132.9257
2022-11-01,133.4489
2022-12-01,130.8489
2023-01-01,130.0403
2023-02-01,133.54
2023-03-01,133.5331
2023-04-01,135.8398
2023-05-01,136.0676
2023-06-01,135.4366
2023-07-01,136.6894
2023-08-01,135.6233
2023-09-01,134.4233
2023-10-01,136.4045
2023-11-01,137.8263
2023-12-01,138.9374
2024-01-01,139.4212
2024-02-01,138.2248
2024-03-01,138.3547
2024-04-01,143.8737
2024-05-01,144.2792
2024-06-01,143.4192
2024-07-01,143.4068
2024-08-01,148.7946
2024-09-01,146.4195
2024-10-01,148.7125
2024-11-01,148.1992
2024-12-01,150.2275
2025-01-01,158.0732
2025-02-01,159.6876
2025-03-01,159.2281
2025-04-01,162.2271
2025-05-01,164.3526
2025-06-01,163.1741
2025-07-01,171.5555
2025-08-01,169.197
2025-09-01,165.667
2025-10-01,169.1163
2025-11-01,169.7424
2025-12-01,170.4877
2026-01-01,176.9155
2026-02-01,175.97
2026-03-01,176.4421
2026-04-01,178.2297
