date,semiconductor_related_device_ppi
2011-01-01,43.6
2011-02-01,44.1
2011-03-01,43.9
2011-04-01,43.6
2011-05-01,43.7
2011-06-01,43.7
2011-07-01,43.4
2011-08-01,43.0
2011-09-01,41.9
2011-10-01,41.8
2011-11-01,40.9
2011-12-01,40.0
2012-01-01,39.5
2012-02-01,39.5
2012-03-01,39.4
2012-04-01,39.5
2012-05-01,39.9
2012-06-01,39.3
2012-07-01,39.2
2012-08-01,38.9
2012-09-01,38.8
2012-10-01,38.8
2012-11-01,38.6
2012-12-01,38.2
2013-01-01,38.3
2013-02-01,38.2
2013-03-01,37.9
2013-04-01,38.5
2013-05-01,38.9
2013-06-01,38.9
2013-07-01,38.9
2013-08-01,38.7
2013-09-01,38.4
2013-10-01,38.5
2013-11-01,38.5
2013-12-01,38.5
2014-01-01,37.8
2014-02-01,37.6
2014-03-01,37.5
2014-04-01,37.4
2014-05-01,37.4
2014-06-01,37.4
2014-07-01,37.5
2014-08-01,37.4
2014-09-01,37.5
2014-10-01,37.5
2014-11-01,37.4
2014-12-01,37.3
2015-01-01,37.2
2015-02-01,37.3
2015-03-01,37.2
2015-04-01,37.1
2015-05-01,37.2
2015-06-01,36.8
2015-07-01,36.9
2015-08-01,36.6
2015-09-01,36.5
2015-10-01,36.5
2015-11-01,36.4
2015-12-01,36.3
2016-01-01,35.9
2016-02-01,35.7
2016-03-01,35.6
2016-04-01,35.6
2016-05-01,35.6
2016-06-01,35.5
2016-07-01,35.5
2016-08-01,35.4
2016-09-01,35.4
2016-10-01,35.2
2016-11-01,35.1
2016-12-01,35.1
2017-01-01,35.6
2017-02-01,35.6
2017-03-01,35.5
2017-04-01,35.8
2017-05-01,35.7
2017-06-01,35.7
2017-07-01,34.7
2017-08-01,34.5
2017-09-01,33.9
2017-10-01,33.9
2017-11-01,33.9
2017-12-01,33.9
2018-01-01,34.0
2018-02-01,34.0
2018-03-01,33.9
2018-04-01,33.9
2018-05-01,33.7
2018-06-01,33.7
2018-07-01,33.2
2018-08-01,32.7
2018-09-01,32.6
2018-10-01,32.3
2018-11-01,32.3
2018-12-01,32.3
2019-01-01,31.7
2019-02-01,31.6
2019-03-01,31.6
2019-04-01,31.7
2019-05-01,31.5
2019-06-01,31.5
2019-07-01,31.6
2019-08-01,31.6
2019-09-01,31.7
2019-10-01,31.6
2019-11-01,31.5
2019-12-01,31.6
2020-01-01,31.4
2020-02-01,31.4
2020-03-01,31.6
2020-04-01,30.6
2020-05-01,30.6
2020-06-01,30.6
2020-07-01,30.3
2020-08-01,30.2
2020-09-01,30.2
2020-10-01,29.1
2020-11-01,29.1
2020-12-01,29.3
2021-01-01,29.1
2021-02-01,29.1
2021-03-01,29.1
2021-04-01,29.0
2021-05-01,29.2
2021-06-01,29.3
2021-07-01,28.898
2021-08-01,29.073
2021-09-01,29.068
2021-10-01,28.853
2021-11-01,29.074
2021-12-01,29.174
2022-01-01,29.396
2022-02-01,29.372
2022-03-01,29.449
2022-04-01,29.639
2022-05-01,29.779
2022-06-01,29.965
2022-07-01,29.926
2022-08-01,29.804
2022-09-01,30.021
2022-10-01,30.664
2022-11-01,30.789
2022-12-01,30.801
2023-01-01,30.73
2023-02-01,30.916
2023-03-01,30.836
2023-04-01,30.583
2023-05-01,30.483
2023-06-01,30.552
2023-07-01,30.488
2023-08-01,30.569
2023-09-01,30.773
2023-10-01,30.661
2023-11-01,30.698
2023-12-01,30.551
2024-01-01,30.679
2024-02-01,30.643
2024-03-01,30.604
2024-04-01,30.78
2024-05-01,30.722
2024-06-01,30.513
2024-07-01,29.661
2024-08-01,29.501
2024-09-01,29.535
2024-10-01,29.743
2024-11-01,29.749
2024-12-01,29.566
2025-01-01,29.116
2025-02-01,29.132
2025-03-01,29.34
2025-04-01,29.259
2025-05-01,28.985
2025-06-01,28.894
2025-07-01,28.832
2025-08-01,28.392
2025-09-01,28.454
2025-10-01,28.631
2025-11-01,28.638
2025-12-01,28.66
2026-01-01,28.623
2026-02-01,29.106
2026-03-01,29.103
2026-04-01,29.589
