name,ticker,lag_days,model,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,cm_down_down,cm_down_neutral,cm_down_up,cm_neutral_down,cm_neutral_neutral,cm_neutral_up,cm_up_down,cm_up_neutral,cm_up_up,precision_down,recall_down,precision_neutral,recall_neutral,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_neutral,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
nvidia,NVDA,1,svm,validation,259,0.3783783783783784,0.3333333333333333,0.18300653594771243,0.20773714891361952,1.118528302029556,0,70,0,0,98,0,0,91,0,0.0,0.0,0.3783783783783784,1.0,0.0,0.0,,0.02300571588096616,,
nvidia,NVDA,1,svm,test,260,0.38076923076923075,0.3083917250583917,0.19748529491122988,0.2400846813862841,1.1007206486978287,0,0,78,0,2,72,0,11,97,0.0,0.0,0.15384615384615385,0.02702702702702703,0.39271255060728744,0.8981481481481481,,0.07631177959072435,0.020344532329253175,
nvidia,NVDA,1,svm,recent_regime,341,0.2697947214076246,0.3117760617760618,0.14533155581889104,0.12716838734871908,1.1138867297911959,0,1,94,0,1,147,0,7,91,0.0,0.0,0.1111111111111111,0.006756756756756757,0.2740963855421687,0.9285714285714286,,0.07353767662282745,0.006799440245631687,
nvidia,NVDA,1,decision_tree,validation,259,0.2548262548262548,0.3020408163265306,0.17653061224489797,0.15637065637065636,1.5450980567541497,57,13,0,89,9,0,64,27,0,0.2714285714285714,0.8142857142857143,0.1836734693877551,0.09183673469387756,0.0,0.0,0.01979333409840039,0.03677306637767662,,
nvidia,NVDA,1,decision_tree,test,260,0.3,0.3333333333333333,0.15384615384615385,0.13846153846153847,1.5642989076041125,78,0,0,74,0,0,108,0,0,0.3,1.0,0.0,0.0,0.0,0.0,0.023142894692326735,,,
nvidia,NVDA,1,decision_tree,recent_regime,341,0.2785923753665689,0.3333333333333333,0.1452599388379205,0.12140493421937636,1.8597850315703557,95,0,0,148,0,0,98,0,0,0.2785923753665689,1.0,0.0,0.0,0.0,0.0,0.008560859974062075,,,
nvidia,NVDA,1,random_forest,validation,259,0.30115830115830117,0.35384615384615387,0.22803343333144657,0.20706799514746535,1.2259218780915795,62,1,7,95,0,3,75,0,16,0.2672413793103448,0.8857142857142857,0.0,0.0,0.6153846153846154,0.17582417582417584,0.021417955925547384,-0.1099491679782854,0.04228706947775106,0.020869113552203673
nvidia,NVDA,1,random_forest,test,260,0.3,0.3333333333333333,0.15384615384615385,0.13846153846153847,1.3199338810318655,78,0,0,74,0,0,108,0,0,0.3,1.0,0.0,0.0,0.0,0.0,0.023142894692326735,,,
nvidia,NVDA,1,random_forest,recent_regime,341,0.2785923753665689,0.3333333333333333,0.1452599388379205,0.12140493421937636,1.2846731782982606,95,0,0,148,0,0,98,0,0,0.2785923753665689,1.0,0.0,0.0,0.0,0.0,0.008560859974062075,,,
nvidia,NVDA,1,ann,validation,259,0.23938223938223938,0.2870748299319728,0.15793271247587884,0.1375228739940545,1.1284974333903899,56,14,0,92,6,0,72,19,0,0.2545454545454545,0.8,0.15384615384615385,0.061224489795918366,0.0,0.0,0.022688227094362363,0.024796678266936312,,
