feature_name,sample_count,mean_abs_shap,mean_shap,mean_feature_value,positive_shap_count,negative_shap_count,positive_shap_ratio,negative_shap_ratio,dominant_direction
usd_krw_lag5,239,0.35521285355648535,-0.35521285355648535,1357.152721757322,0,239,0.0,1.0,negative
nasdaq_lag1,239,0.32087307949790794,0.31504944769874477,17169.027515899583,230,9,0.9623430962343096,0.03765690376569038,positive
sox,239,0.2719319330543933,-0.2719319330543933,222.70817447698744,0,239,0.0,1.0,negative
kospi200_return_3d,239,0.26910780334728035,-0.006204891213389121,-0.08696457740585774,98,141,0.4100418410041841,0.5899581589958159,negative
foreign_net_buy_5d_sum,239,0.24759608368200836,-0.02872171548117155,34980234970.711296,100,139,0.41841004184100417,0.5815899581589958,negative
nasdaq_lag3,239,0.22503299581589958,0.21414601673640168,17130.246051046026,221,18,0.9246861924686193,0.07531380753138076,positive
foreign_net_buy,239,0.20903045606694562,-0.012843803347280336,6883736490.794979,121,118,0.5062761506276151,0.49372384937238495,negative
institution_net_buy_20d_sum,239,0.20676806276150628,0.03398750209205021,-188204330131.79916,128,111,0.5355648535564853,0.46443514644351463,positive
nasdaq_return_3d,239,0.16943406276150627,0.030064882845188285,0.3530669790794979,131,108,0.5481171548117155,0.45188284518828453,positive
vix_lag1,239,0.155865640167364,0.0581923179916318,15.42928870292887,192,47,0.803347280334728,0.19665271966527198,positive
institution_net_buy_20d_to_trading_value_20d,239,0.15386558158995817,-0.05861421757322176,-0.014259774058577406,65,174,0.2719665271966527,0.7280334728033473,negative
sox_return_3d,239,0.15292862343096233,-0.015389987447698745,0.2168485439330544,93,146,0.3891213389121339,0.6108786610878661,negative
usd_krw_return_3d,239,0.15189026359832636,-0.0057571673640167366,0.1361807322175732,78,161,0.3263598326359833,0.6736401673640168,negative
return_pct,239,0.14935678661087867,0.0003620418410041841,0.12221380753138075,131,108,0.5481171548117155,0.45188284518828453,positive
foreign_net_buy_20d_to_trading_value_20d,239,0.14932056066945606,0.013497230125523013,0.0160979539748954,111,128,0.46443514644351463,0.5355648535564853,positive
institution_net_buy_5d_to_trading_value_5d,239,0.14764205439330544,0.0287068410041841,-0.01584539330543933,116,123,0.48535564853556484,0.5146443514644351,positive
institution_net_buy_5d_sum,239,0.14745705857740585,-0.032911560669456066,-48303160022.59414,102,137,0.42677824267782427,0.5732217573221757,negative
vix_lag5,239,0.14682065271966527,-0.058011907949790796,15.34297071129707,104,135,0.4351464435146444,0.5648535564853556,negative
vix_change_3d,239,0.12935648535564853,-0.012392376569037657,0.1192887029288703,101,138,0.4225941422594142,0.5774058577405857,negative
vix_change_1d,239,0.12748353556485356,-0.04210361087866109,0.04878661087866109,74,165,0.30962343096234307,0.6903765690376569,negative
volume,239,0.12587274058577405,0.06695526778242678,4407549.2008368205,199,40,0.8326359832635983,0.16736401673640167,positive
kospi_return_3d,239,0.12332010460251046,0.01650231380753138,-0.06939551464435147,102,137,0.42677824267782427,0.5732217573221757,positive
institution_net_buy,239,0.11534861087866109,-0.01684694560669456,-10499497474.058577,101,138,0.4225941422594142,0.5774058577405857,negative
nasdaq_lag5,239,0.11436446861924686,0.11270037656903766,17105.913855230127,228,11,0.9539748953974896,0.04602510460251046,positive
foreign_net_buy_20d_sum,239,0.11286666108786611,0.0715927280334728,136176156074.47699,164,75,0.6861924686192469,0.3138075313807531,positive
stock_vs_kospi200_return_1d,239,0.11274004184100418,0.035967983263598326,0.16225253556485356,158,81,0.6610878661087866,0.3389121338912134,positive
stock_vs_kospi_return_1d,239,0.09607117991631799,0.04076084518828452,0.15599064853556485,106,133,0.4435146443514644,0.5564853556485355,positive
vix_lag3,239,0.0942612928870293,-0.04724113389121339,15.345899581589958,131,108,0.5481171548117155,0.45188284518828453,negative
kospi_return_1d,239,0.08360092887029288,0.0007857656903765691,-0.0337768410041841,113,126,0.47280334728033474,0.5271966527196653,positive
