name,ticker,experiment,feature_family,feature_count,core_feature_count,extended_feature_count,features
nvidia,NVDA,core_plus_rates,core_macro+rates,24,15,9,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5"
nvidia,NVDA,core_plus_broad_dollar,core_macro+dollar,18,15,3,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5"
nvidia,NVDA,core_plus_semi_etf,core_macro+semi_etf,21,15,6,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,24,15,9,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,semiconductor_electronic_component_industrial_production_t_minus_1,semiconductor_electronic_component_industrial_production_t_minus_3,semiconductor_electronic_component_industrial_production_t_minus_5,semiconductor_related_device_ppi_t_minus_1,semiconductor_related_device_ppi_t_minus_3,semiconductor_related_device_ppi_t_minus_5,computers_electronic_products_new_orders_t_minus_1,computers_electronic_products_new_orders_t_minus_3,computers_electronic_products_new_orders_t_minus_5"
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,33,15,18,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
samsung_electronics,005930,core_plus_rates,core_macro+rates,24,15,9,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5"
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,18,15,3,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5"
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,21,15,6,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,24,15,9,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,semiconductor_electronic_component_industrial_production_t_minus_1,semiconductor_electronic_component_industrial_production_t_minus_3,semiconductor_electronic_component_industrial_production_t_minus_5,semiconductor_related_device_ppi_t_minus_1,semiconductor_related_device_ppi_t_minus_3,semiconductor_related_device_ppi_t_minus_5,computers_electronic_products_new_orders_t_minus_1,computers_electronic_products_new_orders_t_minus_3,computers_electronic_products_new_orders_t_minus_5"
samsung_electronics,005930,core_plus_domestic_alpha,core_macro+domestic_alpha,21,15,6,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,alpha_foreign_net_buy_value_t_minus_1,alpha_institution_net_buy_value_t_minus_1,alpha_foreign_net_buy_value_t_minus_3,alpha_institution_net_buy_value_t_minus_3,alpha_foreign_net_buy_value_t_minus_5,alpha_institution_net_buy_value_t_minus_5"
samsung_electronics,005930,proposed_daily_extended,core_macro+rates+dollar+semi_etf,33,15,18,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
sk_hynix,000660,core_plus_rates,core_macro+rates,24,15,9,"nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5"
