name,ticker,experiment,feature_family,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,roc_auc_ovr_weighted,cm_down_down,cm_down_neutral,cm_down_up,cm_neutral_down,cm_neutral_neutral,cm_neutral_up,cm_up_down,cm_up_neutral,cm_up_up,precision_down,recall_down,precision_neutral,recall_neutral,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_neutral,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
nvidia,NVDA,core_plus_rates,core_macro+rates,validation,259,0.23938223938223938,0.2682888540031397,0.19264460511679646,0.18149733437553237,1.4688827658565828,0.453582353427074,42,27,1,76,19,3,60,30,1,0.23595505617977527,0.6,0.25,0.19387755102040816,0.2,0.01098901098901099,0.02674182262093987,0.014383227336231626,0.02106214181786712,-0.00567968080307275
nvidia,NVDA,core_plus_rates,core_macro+rates,test,260,0.3,0.33564333564333565,0.2117729457833243,0.18754919271298884,2.0135284041491883,0.48085609226109743,68,10,0,64,10,0,101,7,0,0.2918454935622318,0.8717948717948718,0.37037037037037035,0.13513513513513514,0.0,0.0,0.026002937229524493,-0.0015382131286761666,,
nvidia,NVDA,core_plus_rates,core_macro+rates,recent_regime,341,0.39882697947214074,0.35154101469890947,0.2942702854337611,0.3260604662096419,1.603670261558633,0.471457393587032,36,59,0,48,100,0,17,81,0,0.3564356435643564,0.37894736842105264,0.4166666666666667,0.6756756756756757,0.0,0.0,-0.007568124973257947,0.015348474472725915,,
nvidia,NVDA,core_plus_broad_dollar,core_macro+dollar,validation,259,0.2277992277992278,0.2795918367346939,0.13004783188269428,0.1074278230241533,1.8461122732290929,0.5878667598388094,58,6,6,97,1,0,87,4,0,0.2396694214876033,0.8285714285714286,0.09090909090909091,0.01020408163265306,0.0,0.0,0.027207629785955995,-0.014277533797519264,-0.07811885387640058,-0.10532648366235657
nvidia,NVDA,core_plus_broad_dollar,core_macro+dollar,test,260,0.3038461538461538,0.3378378378378379,0.164594974721557,0.14774599331561358,2.339278389954425,0.45275281847250304,78,0,0,73,1,0,104,4,0,0.3058823529411765,1.0,0.2,0.013513513513513514,0.0,0.0,0.02089740018022067,0.13766311480973592,,
nvidia,NVDA,core_plus_broad_dollar,core_macro+dollar,recent_regime,341,0.28152492668621704,0.32176386913229016,0.1841001942267765,0.17360326711082122,1.6867820042245094,0.4859095137353047,84,11,0,136,12,0,80,18,0,0.28,0.8842105263157894,0.2926829268292683,0.08108108108108109,0.0,0.0,0.006347792726901444,0.024754034953286187,,
nvidia,NVDA,core_plus_semi_etf,core_macro+semi_etf,validation,259,0.25096525096525096,0.3081632653061224,0.1395638629283489,0.11518060116190956,1.9935394301795286,0.5899185010209855,64,6,0,97,1,0,89,2,0,0.256,0.9142857142857143,0.1111111111111111,0.01020408163265306,0.0,0.0,0.025250892846389962,-0.0393603109363616,,
nvidia,NVDA,core_plus_semi_etf,core_macro+semi_etf,test,260,0.3,0.3333333333333333,0.15476190476190477,0.1392857142857143,2.890092088302068,0.4449851664377588,78,0,0,74,0,0,106,2,0,0.3023255813953488,1.0,0.0,0.0,0.0,0.0,0.022219652051537454,0.1422411953541441,,
nvidia,NVDA,core_plus_semi_etf,core_macro+semi_etf,recent_regime,341,0.2756598240469208,0.32354196301564725,0.16269575342791284,0.1451741478050187,2.0031616596789688,0.46729553656950024,89,6,0,143,5,0,88,10,0,0.278125,0.9368421052631579,0.23809523809523808,0.033783783783783786,0.0,0.0,0.007624998400302621,0.022821607764682304,,
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,validation,259,0.25096525096525096,0.30952380952380953,0.13584117032392895,0.11014148945183429,1.4291943207404856,0.5842555066157552,65,5,0,98,0,0,86,5,0,0.26104417670682734,0.9285714285714286,0.0,0.0,0.0,0.0,0.023980306941805085,-0.0012616015339230694,,
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,test,260,0.3,0.3333333333333333,0.15568862275449102,0.14011976047904193,2.0719393799855146,0.5174421233341993,78,0,0,74,0,0,104,4,0,0.3046875,1.0,0.0,0.0,0.0,0.0,0.02089667892476458,0.16690070381630465,,
nvidia,NVDA,core_plus_monthly_industry,core_macro+monthly_industry,recent_regime,341,0.2727272727272727,0.32505926979611194,0.14882075471698114,0.12632379793061474,1.5853927830243089,0.4715665499155713,92,3,0,147,1,0,90,8,0,0.2796352583586626,0.968421052631579,0.08333333333333333,0.006756756756756757,0.0,0.0,0.007084773319481722,0.049030235753806696,,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,validation,259,0.23938223938223938,0.2628466771323914,0.19660979436652,0.18688701625351653,1.4670635858416192,0.45312615188391586,38,31,1,73,23,2,49,41,1,0.2375,0.5428571428571428,0.24210526315789474,0.23469387755102042,0.25,0.01098901098901099,0.025672381431175385,0.018429701612934404,0.02501943273835155,-0.0006529486928238334
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,260,0.31153846153846154,0.34938784938784934,0.2324783255015813,0.2053496890706193,1.9008518150324296,0.4844664838991925,67,11,0,60,14,0,96,12,0,0.3004484304932735,0.8589743589743589,0.3783783783783784,0.1891891891891892,0.0,0.0,0.025362633531431953,0.009764468716097992,,
nvidia,NVDA,proposed_daily_extended,core_macro+rates+dollar+semi_etf,recent_regime,341,0.3548387096774194,0.33157894736842103,0.27396640826873386,0.2958438473254677,1.6134846660340594,0.4472445892935156,47,48,0,74,74,0,24,74,0,0.32413793103448274,0.49473684210526314,0.37755102040816324,0.5,0.0,0.0,-0.001169091323923575,0.015759038230224925,,
samsung_electronics,005930,core_plus_rates,core_macro+rates,validation,253,0.2490118577075099,0.3333333333333333,0.1346153846153846,0.10056248099726361,2.1232713938890986,0.4633990373458431,63,0,0,120,0,0,66,4,0,0.25301204819277107,1.0,0.0,0.0,0.0,0.0,0.0027508653726695223,0.06754452609668238,,
samsung_electronics,005930,core_plus_rates,core_macro+rates,test,254,0.38976377952755903,0.33564102564102566,0.22631174026773349,0.25658217557395263,1.9655500857842745,0.44778572390849,93,7,0,72,6,0,70,6,0,0.39574468085106385,0.93,0.3157894736842105,0.07692307692307693,0.0,0.0,-0.004062862389459653,-0.011702982026864936,,
samsung_electronics,005930,core_plus_rates,core_macro+rates,recent_regime,330,0.21212121212121213,0.29008026395101677,0.17158372491535542,0.13142498688683124,1.9181642706092485,0.4880576446532586,10,63,3,19,57,3,36,136,3,0.15384615384615385,0.13157894736842105,0.22265625,0.7215189873417721,0.3333333333333333,0.017142857142857144,0.02198619067854873,0.028546756069434367,0.010138201116625322,-0.011847989561923409
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,validation,253,0.2490118577075099,0.31865079365079363,0.18142358132467631,0.15542070285669873,1.7139596026554826,0.46654715905944477,54,8,1,115,5,0,66,0,4,0.2297872340425532,0.8571428571428571,0.38461538461538464,0.041666666666666664,0.8,0.05714285714285714,0.00479012354178838,-0.02305808935151726,0.025843942286179162,0.02105381874439078
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,test,254,0.29133858267716534,0.25794871794871793,0.19990543735224586,0.22225051655777073,1.7385963913834752,0.4496587002531221,62,38,0,66,12,0,54,22,0,0.34065934065934067,0.62,0.16666666666666666,0.15384615384615385,0.0,0.0,-0.0009297238730758395,-0.013998882987967353,,
samsung_electronics,005930,core_plus_broad_dollar,core_macro+dollar,recent_regime,330,0.21515151515151515,0.29646489641826085,0.19460765683704792,0.1474446165106689,2.0625326579076693,0.422197129999717,23,52,1,34,45,0,69,103,3,0.18253968253968253,0.3026315789473684,0.225,0.569620253164557,0.75,0.017142857142857144,0.026429426409814473,0.026884661529143677,0.030318931116283476,0.0038895047064690033
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,validation,253,0.25691699604743085,0.31375661375661373,0.17735430298855856,0.167374583859488,1.8387693867255561,0.4861398458239814,53,10,0,108,12,0,57,13,0,0.24311926605504589,0.8412698412698413,0.34285714285714286,0.1,0.0,0.0,0.003069661823748534,0.008170208702978863,,
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,test,254,0.3700787401574803,0.33871794871794875,0.2767156862745098,0.29759726725335806,1.857095764119861,0.47698716781316536,67,33,0,51,27,0,54,22,0,0.38953488372093026,0.67,0.32926829268292684,0.34615384615384615,0.0,0.0,-0.0023196186381594735,-0.009489694076463693,,
samsung_electronics,005930,core_plus_semi_etf,core_macro+semi_etf,recent_regime,330,0.20303030303030303,0.27725548047333526,0.16265388707038855,0.12538190460538273,2.122623106056908,0.4637914652456131,9,65,2,23,55,1,44,128,3,0.11842105263157894,0.11842105263157894,0.2217741935483871,0.6962025316455697,0.5,0.017142857142857144,0.026776383093784675,0.026989003909374584,0.0166729455463269,-0.010103437547457777
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,validation,253,0.2845849802371542,0.31058201058201057,0.2175703500343171,0.22964236980530137,1.6866488577943208,0.4905836807401125,44,19,0,92,28,0,49,21,0,0.23783783783783785,0.6984126984126984,0.4117647058823529,0.23333333333333334,0.0,0.0,0.003396518949767633,0.004805699654035713,,
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,test,254,0.33070866141732286,0.31196581196581197,0.2569031932894121,0.2735316903833937,1.9315590712780368,0.47721010741890146,50,50,0,44,34,0,41,35,0,0.37037037037037035,0.5,0.2857142857142857,0.4358974358974359,0.0,0.0,-0.0005948097782666734,-0.009217058823255894,,
samsung_electronics,005930,core_plus_monthly_industry,core_macro+monthly_industry,recent_regime,330,0.23030303030303031,0.3163789219885156,0.14638872707929237,0.11134790291523605,2.0322184549569218,0.47909081280193233,2,74,0,7,72,0,16,157,2,0.08,0.02631578947368421,0.2376237623762376,0.9113924050632911,1.0,0.011428571428571429,0.025489912347929064,0.02674125907620642,0.0442332245708612,0.018743312222932136
samsung_electronics,005930,core_plus_domestic_alpha,core_macro+domestic_alpha,validation,253,0.3201581027667984,0.3585978835978836,0.2688866107399344,0.2740662042354593,1.6230209893838778,0.5150388769175581,50,12,1,91,27,2,52,14,4,0.25906735751295334,0.7936507936507936,0.5094339622641509,0.225,0.5714285714285714,0.05714285714285714,0.0026679217115073628,0.003225849577377802,0.03846638060849944,0.035798458896992076
samsung_electronics,005930,core_plus_domestic_alpha,core_macro+domestic_alpha,test,254,0.3346456692913386,0.29931623931623935,0.2361340456532297,0.25815987426049647,1.6149726956869033,0.4400509691140497,68,32,0,61,17,0,61,15,0,0.35789473684210527,0.68,0.265625,0.21794871794871795,0.0,0.0,-0.001867996481946267,-0.012847031069744712,,
samsung_electronics,005930,core_plus_domestic_alpha,core_macro+domestic_alpha,recent_regime,330,0.22121212121212122,0.2695177817962628,0.2162177691589456,0.20338223867635633,1.6029278456970815,0.45569672817723034,19,48,9,35,36,8,65,92,18,0.15966386554621848,0.25,0.20454545454545456,0.45569620253164556,0.5142857142857142,0.10285714285714286,0.026533028049423618,0.0239951532502392,0.0413639556573424,0.014830927607918779
samsung_electronics,005930,proposed_daily_extended,core_macro+rates+dollar+semi_etf,validation,253,0.2490118577075099,0.3333333333333333,0.1329113924050633,0.0992895381998299,2.0114710708178487,0.4696818505799261,63,0,0,120,0,0,70,0,0,0.2490118577075099,1.0,0.0,0.0,0.0,0.0,0.003775271075815971,,,
samsung_electronics,005930,proposed_daily_extended,core_macro+rates+dollar+semi_etf,test,254,0.39763779527559057,0.3460683760683761,0.24897119341563786,0.27802080295518616,1.8048048900943494,0.44161402385988785,91,9,0,68,10,0,65,11,0,0.40625,0.91,0.3333333333333333,0.1282051282051282,0.0,0.0,-0.005885637209815255,0.0047084471655054975,,
samsung_electronics,005930,proposed_daily_extended,core_macro+rates+dollar+semi_etf,recent_regime,330,0.20909090909090908,0.28952507851908255,0.19518240044555835,0.1475646186172502,1.9666612174337008,0.4133776198229687,32,44,0,43,34,2,101,71,3,0.18181818181818182,0.42105263157894735,0.22818791946308725,0.43037974683544306,0.6,0.017142857142857144,0.03383081569497475,0.01819681055363233,0.03255348462474404,-0.0012773310702307097
sk_hynix,000660,core_plus_rates,core_macro+rates,validation,253,0.2490118577075099,0.3333333333333333,0.1329113924050633,0.0992895381998299,2.1908899188533058,0.4547761649635646,63,0,0,107,0,0,83,0,0,0.2490118577075099,1.0,0.0,0.0,0.0,0.0,0.009771242725695553,,,
sk_hynix,000660,core_plus_rates,core_macro+rates,test,254,0.2952755905511811,0.3333333333333333,0.1519756838905775,0.13462412943062968,2.733498316162576,0.5193789294000677,75,0,0,77,0,0,102,0,0,0.2952755905511811,1.0,0.0,0.0,0.0,0.0,0.008197335300386195,,,
sk_hynix,000660,core_plus_rates,core_macro+rates,recent_regime,330,0.23636363636363636,0.3333333333333333,0.12745098039215685,0.09037433155080213,2.9760794776182697,0.5482827779455687,78,0,0,72,0,0,180,0,0,0.23636363636363636,1.0,0.0,0.0,0.0,0.0,0.03897886620562822,,,
sk_hynix,000660,core_plus_broad_dollar,core_macro+dollar,validation,253,0.2490118577075099,0.3333333333333333,0.1329113924050633,0.0992895381998299,1.955215977721122,0.46962725759020174,63,0,0,107,0,0,83,0,0,0.2490118577075099,1.0,0.0,0.0,0.0,0.0,0.009771242725695553,,,
