name,ticker,recipe,feature_family,selected_params,selected_by,validation_f1_macro,validation_balanced_accuracy,validation_accuracy,validation_log_loss
nvidia,NVDA,technical_only,technical,depth3_regularized,validation_f1_macro,0.3151515151515151,0.31978021978021975,0.32432432432432434,1.1982682957471504
nvidia,NVDA,technical_core,technical,depth2_fast_unweighted,validation_f1_macro,0.32866536066087315,0.3695970695970696,0.3436293436293436,1.2067507419467092
nvidia,NVDA,technical_rates,technical+rates,depth3_regularized_unweighted,validation_f1_macro,0.28326043570513226,0.3200941915227629,0.2972972972972973,1.457770718767345
nvidia,NVDA,technical_dollar,technical+dollar,depth4_slow_unweighted,validation_f1_macro,0.2813353690716301,0.363788592360021,0.3204633204633205,1.3364639531494427
nvidia,NVDA,technical_semi_etf,technical+semi_etf,depth4_slow,validation_f1_macro,0.3015475478468899,0.3909994767137624,0.3474903474903475,1.3432079602034241
nvidia,NVDA,technical_monthly_industry,technical+monthly_industry,baseline_depth3_unweighted,validation_f1_macro,0.34982597334726934,0.40518053375196234,0.3745173745173745,1.2161554676833366
nvidia,NVDA,technical_domestic_alpha,technical+domestic_alpha,depth2_fast_unweighted,validation_f1_macro,0.32866536066087315,0.3695970695970696,0.3436293436293436,1.2067507419467092
nvidia,NVDA,technical_rates_dollar,technical+rates+dollar,shallow_regularized,validation_f1_macro,0.2611853745055744,0.28812140240711664,0.2702702702702703,1.4246439511772733
nvidia,NVDA,technical_rates_semi_etf,technical+rates+semi_etf,shallow_regularized,validation_f1_macro,0.27768316302678153,0.30900052328623756,0.29343629343629346,1.4011098823506798
nvidia,NVDA,technical_dollar_semi_etf,technical+dollar+semi_etf,depth2_fast,validation_f1_macro,0.27431692201527963,0.36033490319204603,0.3166023166023166,1.290166255737383
nvidia,NVDA,technical_alpha_semi_etf,technical+domestic_alpha+semi_etf,depth4_slow,validation_f1_macro,0.3015475478468899,0.3909994767137624,0.3474903474903475,1.3432079602034241
nvidia,NVDA,technical_alpha_rates,technical+domestic_alpha+rates,depth3_regularized_unweighted,validation_f1_macro,0.28326043570513226,0.3200941915227629,0.2972972972972973,1.457770718767345
nvidia,NVDA,technical_daily_extended,technical+rates+dollar+semi_etf,depth3_regularized_unweighted,validation_f1_macro,0.2608133130719768,0.33181580324437465,0.29343629343629346,1.516818920002282
nvidia,NVDA,technical_all_guarded,technical+rates+dollar+semi_etf+monthly_industry+domestic_alpha,depth3_regularized_unweighted,validation_f1_macro,0.26540198597178044,0.3472004186289901,0.305019305019305,1.38094276936053
samsung_electronics,005930,technical_only,technical,depth3_regularized_unweighted,validation_f1_macro,0.3157982290872657,0.3187830687830688,0.35177865612648224,1.1686758448087706
samsung_electronics,005930,technical_core,technical,baseline_depth3_unweighted,validation_f1_macro,0.2391134411199415,0.30648148148148147,0.2845849802371542,1.6133999914212123
samsung_electronics,005930,technical_rates,technical+rates,baseline_depth3_unweighted,validation_f1_macro,0.14642101776112937,0.33888888888888885,0.25691699604743085,2.0606001023547753
samsung_electronics,005930,technical_dollar,technical+dollar,depth2_fast_unweighted,validation_f1_macro,0.2411246873105091,0.3202380952380952,0.28063241106719367,1.6672433238976352
samsung_electronics,005930,technical_semi_etf,technical+semi_etf,baseline_depth3_unweighted,validation_f1_macro,0.25014172745265184,0.32764550264550263,0.30039525691699603,1.6280618020567454
samsung_electronics,005930,technical_monthly_industry,technical+monthly_industry,baseline_depth3_unweighted,validation_f1_macro,0.24951114387795612,0.3123015873015873,0.2964426877470356,1.5699854086991514
samsung_electronics,005930,technical_domestic_alpha,technical+domestic_alpha,depth4_slow,validation_f1_macro,0.2978774680603949,0.3554232804232804,0.34782608695652173,1.391809305433305
samsung_electronics,005930,technical_rates_dollar,technical+rates+dollar,depth4_slow_unweighted,validation_f1_macro,0.14117167392910837,0.3361111111111111,0.25296442687747034,1.9243072062750406
samsung_electronics,005930,technical_rates_semi_etf,technical+rates+semi_etf,baseline_depth3,validation_f1_macro,0.1460658815497525,0.33888888888888885,0.25691699604743085,1.9604388716955767
samsung_electronics,005930,technical_dollar_semi_etf,technical+dollar+semi_etf,depth2_fast_unweighted,validation_f1_macro,0.24770655493547059,0.3265873015873016,0.2924901185770751,1.690881774631064
samsung_electronics,005930,technical_alpha_semi_etf,technical+domestic_alpha+semi_etf,baseline_depth3_unweighted,validation_f1_macro,0.29668967139255764,0.35039682539682543,0.34782608695652173,1.4264367216670928
samsung_electronics,005930,technical_alpha_rates,technical+domestic_alpha+rates,depth3_regularized_unweighted,validation_f1_macro,0.18953689915289407,0.3533068783068783,0.2845849802371542,1.7084436289860303
samsung_electronics,005930,technical_daily_extended,technical+rates+dollar+semi_etf,baseline_depth3_unweighted,validation_f1_macro,0.1407748762587472,0.3361111111111111,0.25296442687747034,1.9781837100988657
samsung_electronics,005930,technical_all_guarded,technical+rates+dollar+semi_etf+monthly_industry+domestic_alpha,depth3_conservative,validation_f1_macro,0.20207876333116984,0.35555555555555557,0.2885375494071146,1.5677101413818604
sk_hynix,000660,technical_only,technical,depth3_regularized,validation_f1_macro,0.354582383311057,0.3565777722967229,0.35968379446640314,1.2082999978938298
sk_hynix,000660,technical_core,technical,depth2_fast_unweighted,validation_f1_macro,0.15863940863940865,0.34579439252336447,0.2648221343873518,1.8992706574927731
sk_hynix,000660,technical_rates,technical+rates,depth2_fast,validation_f1_macro,0.13333333333333333,0.3333333333333333,0.2490118577075099,1.9913729434996514
sk_hynix,000660,technical_dollar,technical+dollar,depth2_fast_unweighted,validation_f1_macro,0.15931414296258445,0.34579439252336447,0.2648221343873518,1.803265756714216
sk_hynix,000660,technical_semi_etf,technical+semi_etf,depth4_slow_unweighted,validation_f1_macro,0.14330324192357916,0.3289818523463383,0.2490118577075099,1.9225214564716837
sk_hynix,000660,technical_monthly_industry,technical+monthly_industry,depth2_fast_unweighted,validation_f1_macro,0.17144293614881848,0.35202492211838005,0.2727272727272727,1.8029780635247912
sk_hynix,000660,technical_domestic_alpha,technical+domestic_alpha,depth2_fast_unweighted,validation_f1_macro,0.15931414296258445,0.34579439252336447,0.2648221343873518,1.8685522518789361
sk_hynix,000660,technical_rates_dollar,technical+rates+dollar,depth3_regularized_unweighted,validation_f1_macro,0.13333333333333333,0.3333333333333333,0.2490118577075099,2.071882136415444
sk_hynix,000660,technical_rates_semi_etf,technical+rates+semi_etf,depth2_fast,validation_f1_macro,0.13333333333333333,0.3333333333333333,0.2490118577075099,1.9225140003772168
sk_hynix,000660,technical_dollar_semi_etf,technical+dollar+semi_etf,depth2_fast_unweighted,validation_f1_macro,0.15931414296258445,0.34579439252336447,0.2648221343873518,1.7438741553623243
sk_hynix,000660,technical_alpha_semi_etf,technical+domestic_alpha+semi_etf,depth3_regularized_unweighted,validation_f1_macro,0.159796323336703,0.34579439252336447,0.2648221343873518,1.8699590140856237
sk_hynix,000660,technical_alpha_rates,technical+domestic_alpha+rates,depth2_fast_unweighted,validation_f1_macro,0.14062139062139062,0.3364485981308411,0.25296442687747034,1.9059602338733326
sk_hynix,000660,technical_daily_extended,technical+rates+dollar+semi_etf,depth3_regularized_unweighted,validation_f1_macro,0.13333333333333333,0.3333333333333333,0.2490118577075099,2.0495409763985606
sk_hynix,000660,technical_all_guarded,technical+rates+dollar+semi_etf+monthly_industry+domestic_alpha,depth2_fast_unweighted,validation_f1_macro,0.14062139062139062,0.3364485981308411,0.25296442687747034,1.8230126068886299
