name,ticker,recipe,feature_family,params,feature_count,technical_feature_count,core_feature_count,extended_feature_count,features
nvidia,NVDA,technical_only,technical,depth3_conservative,22,22,0,0,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio"
nvidia,NVDA,technical_core,technical,depth2_fast_unweighted,37,22,15,0,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5"
nvidia,NVDA,technical_rates,technical+rates,depth3_regularized_unweighted,46,22,15,9,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5"
nvidia,NVDA,technical_dollar,technical+dollar,depth2_fast,40,22,15,3,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5"
nvidia,NVDA,technical_semi_etf,technical+semi_etf,depth2_fast,43,22,15,6,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
nvidia,NVDA,technical_monthly_industry,technical+monthly_industry,depth2_fast,46,22,15,9,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,semiconductor_electronic_component_industrial_production_t_minus_1,semiconductor_electronic_component_industrial_production_t_minus_3,semiconductor_electronic_component_industrial_production_t_minus_5,semiconductor_related_device_ppi_t_minus_1,semiconductor_related_device_ppi_t_minus_3,semiconductor_related_device_ppi_t_minus_5,computers_electronic_products_new_orders_t_minus_1,computers_electronic_products_new_orders_t_minus_3,computers_electronic_products_new_orders_t_minus_5"
nvidia,NVDA,technical_domestic_alpha,technical+domestic_alpha,depth2_fast_unweighted,37,22,15,0,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5"
nvidia,NVDA,technical_rates_dollar,technical+rates+dollar,depth3_regularized_unweighted,49,22,15,12,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5"
nvidia,NVDA,technical_rates_semi_etf,technical+rates+semi_etf,depth3_regularized_unweighted,52,22,15,15,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,us_10y_treasury_fred_t_minus_1,us_10y_treasury_fred_t_minus_3,us_10y_treasury_fred_t_minus_5,us_2y_treasury_fred_t_minus_1,us_2y_treasury_fred_t_minus_3,us_2y_treasury_fred_t_minus_5,us_10y_2y_spread_t_minus_1,us_10y_2y_spread_t_minus_3,us_10y_2y_spread_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
nvidia,NVDA,technical_dollar_semi_etf,technical+dollar+semi_etf,depth2_fast,46,22,15,9,"tech_return_1d,tech_ma5_ratio,tech_ma10_ratio,tech_ma20_ratio,tech_rsi14,tech_bb_percent_b,tech_bb_width,tech_volatility_20d,tech_momentum_5d,tech_momentum_10d,tech_momentum_20d,tech_macd_ratio,tech_macd_signal_ratio,tech_macd_hist_ratio,tech_stochastic_k14,tech_stochastic_d3,tech_atr14_ratio,tech_volume_ratio_20d,tech_volume_change_1d,tech_close_to_20d_high,tech_close_to_20d_low,tech_intraday_range_ratio,nasdaq_t_minus_1,sox_t_minus_1,vix_t_minus_1,us_rate_t_minus_1,usd_krw_t_minus_1,nasdaq_t_minus_3,sox_t_minus_3,vix_t_minus_3,us_rate_t_minus_3,usd_krw_t_minus_3,nasdaq_t_minus_5,sox_t_minus_5,vix_t_minus_5,us_rate_t_minus_5,usd_krw_t_minus_5,broad_dollar_index_t_minus_1,broad_dollar_index_t_minus_3,broad_dollar_index_t_minus_5,smh_t_minus_1,smh_t_minus_3,smh_t_minus_5,soxx_t_minus_1,soxx_t_minus_3,soxx_t_minus_5"
